cluster_0	12	PSMA1	PSMA2	PSMA5	PSMA7	PSMB1	PSMB2	PSMB3	PSMB4	PSMB7	PSMB9	PSME1	PSME2
cluster_1	9	CCDC22	CCDC93	COMMD1	COMMD2	COMMD3	COMMD4	COMMD6	COMMD8	NUP62
cluster_2	8	COPS2	COPS3	COPS6	COPS7B	COPS8	FEM1B	GPS1	MYEOV2
cluster_3	7	ACAD9	ECSIT	NDUFA13	NDUFAF1	NDUFAF4	NDUFB5	NDUFC2
cluster_4	7	C1D	EXOSC2	EXOSC4	EXOSC5	EXOSC7	MPHOSPH6	ZFC3H1
cluster_5	7	COPS2	COPS3	COPS5	COPS6	COPS7A	FBXL14	GPS1
cluster_6	7	DSN1	MIS12	NDC80	NSL1	NUF2	PMF1	TPST2
cluster_7	7	DSN1	MIS12	NSL1	S100A2	SPC24	SPC25	ZWINT
cluster_8	7	GPSM3	YWHAB	YWHAE	YWHAG	YWHAH	YWHAQ	YWHAZ
cluster_9	7	ISL2	LDB1	LMX1B	MFAP4	SSBP2	SSBP3	SSBP4
cluster_10	6	ANKRD39	COPS2	COPS6	COPS7A	GPS1	SKP2
cluster_11	6	ARHGEF6	ARHGEF7	GIT1	GIT2	YWHAG	YWHAH
cluster_12	6	C7orf30	MRPL30	MRPL47	MRPL50	MRPL51	PDGFB
cluster_13	6	CCNA2	CDK2	CDK3	CKS1B	CKS2	GMNN
cluster_14	6	CCT2	CCT3	CCT5	CCT6B	CCT7	METAP2
cluster_15	6	COMMD1	COMMD4	COMMD6	COMMD8	E2F6	TFDP1
cluster_16	6	EIF3B	EIF3C	EIF3D	EIF3E	EIF3G	EIF3I
cluster_17	6	ERCC3	GTF2H1	GTF2H2	GTF2H3	GTF2H4	GTF2H5
cluster_18	6	EXTL3	NDUFA12	NDUFB3	NDUFB8	NDUFS4	NDUFV3
cluster_19	6	IFT20	IFT27	IFT57	RABL5	TTC30A	TTC30B
cluster_20	6	MIS12	NDC80	NUF2	SPC24	SPC25	ZWINT
cluster_21	6	NDUFA12	NDUFA7	NDUFB8	NDUFS4	NDUFS6	VAPB
cluster_22	6	STX12	STX6	STX7	STX8	VAMP3	VTI1B
cluster_23	5	ACD	POT1	TERF1	TERF2IP	TINF2
cluster_24	5	ACTR10	C1orf106	DCTN1	DCTN5	DCTN6
cluster_25	5	AKIRIN2	PSMA2	PSMA5	PSMB2	PSMB3
cluster_26	5	ALKBH3	ASCC1	ASCC2	ASCC3	TRIP4
cluster_27	5	ALPK2	C15orf63	NAA10	NAA15	NAA16
cluster_28	5	ARHGAP22	PIP4K2A	PIP4K2B	PIP4K2C	PLCD3
cluster_29	5	ATF6	DET1	RFWD2	STK40	TRIB1
cluster_30	5	ATP5A1	ATP5B	ATP5F1	ATP5ME	NTSR1
cluster_31	5	C15orf24	PLAC9	TMEM111	TMEM85	TMEM93
cluster_32	5	C1D	DIS3	EXOSC2	MPHOSPH6	WDR43
cluster_33	5	C5orf25	FAM178A	NDNL2	NSMCE1	SMC6
cluster_34	5	C6orf154	TBC1D5	VPS26A	VPS26B	VPS35
cluster_35	5	CCDC151	CCDC22	COMMD2	COMMD3	COMMD8
cluster_36	5	CCDC22	COMMD1	COMMD3	COMMD8	FAM167A
cluster_37	5	CCNA2	CDC20	CDK2	CDKN1A	CKS1B
cluster_38	5	CCT2	CCT3	CCT7	DCAF13	PDCL3
cluster_39	5	CCT2	CCT3	CCT7	DCAF7	TCP1
cluster_40	5	CDC14B	GINS1	GINS2	GINS3	GINS4
cluster_41	5	COBRA1	RDBP	TH1L	WHSC2	XYLT1
cluster_42	5	COG1	COG2	COG5	COG6	COG8
cluster_43	5	COPS6	COPS7A	COPS7B	GPS1	RHOBTB1
cluster_44	5	EIF3A	EIF3E	EIF3H	EIF3M	GPBP1L1
cluster_45	5	EIF3C	EIF3E	EIF3H	EIF3M	PSMD12
cluster_46	5	EXOSC1	EXOSC4	EXOSC5	EXOSC8	EXOSC9
cluster_47	5	FBXL19	MED10	MED17	MED20	MED21
cluster_48	5	FTL	L3MBTL2	MGA	PCGF6	PIPSL
cluster_49	5	HDAC1	MBD3L1	RBBP7	ZBTB2	ZNF219
cluster_50	5	HOMER1	HOMER2	HOMER3	MYPN	PALLD
cluster_51	5	IDI2	LMO4	SSBP2	SSBP3	SSBP4
cluster_52	5	LAGE3	NUP43	OSGEP	TP53RK	TPRKB
cluster_53	5	NDNL2	NSMCE1	OBFC1	SMC5	SMC6
cluster_54	5	NDNL2	NSMCE4A	PJA1	SMC5	SMC6
cluster_55	5	PHKG2	PRKAA1	PRKAB1	PRKAB2	PRKAG1
cluster_56	5	PRPF3	SNRNP27	SNRPE	SNRPG	SNRPN
cluster_57	5	RGS3	SEPT10	SEPT11	SEPT2	SEPT8
cluster_58	5	ZNF174	ZNF192	ZNF232	ZNF397	ZNF496
cluster_59	4	ABI2	C10orf88	CYFIP2	NCKAP1
cluster_60	4	ACTR3	ACTR3B	ARPC1B	ARPC4
cluster_61	4	ADARB1	PRKRA	RPL35A	RRS1
cluster_62	4	ADIPOQ	C19orf63	TMEM111	TMEM85
cluster_63	4	AKAP11	AP2M1	PRKACB	PRKAR1B
cluster_64	4	AKAP7	PRKACB	PRKACG	PRKAR1B
cluster_65	4	AMIGO1	DNM1	DNM2	DNM3
cluster_66	4	ANKRD32	FAM178A	NSMCE4A	SMC5
cluster_67	4	AP1B1	AP1G1	AP1S2	PPP6R2
cluster_68	4	AP4B1	AP4E1	AP4S1	DISC1
cluster_69	4	APLF	LIG3	POLB	TDP1
cluster_70	4	ARHGEF6	ARHGEF7	GIT1	MED4
cluster_71	4	ARHGEF6	GIT1	GIT2	RABGGTB
cluster_72	4	ARHGEF7	CAMK4	GIT1	GIT2
cluster_73	4	ARIH1	KCTD10	KCTD13	TNFAIP1
cluster_74	4	ARNTL	ARNTL2	CLOCK	NPAS2
cluster_75	4	ARRDC1	RCOR1	RCOR3	ZMYM2
cluster_76	4	ASB6	E2F6	L3MBTL2	MGA
cluster_77	4	ASH1L	KDM5C	MORF4L1	MORF4L2
cluster_78	4	ASH2L	HCFC2	RBBP5	WDR5
cluster_79	4	ATF7	BACH1	BATF3	CREB5
cluster_80	4	ATP6V0A1	ATP6V0A2	ATP6V0D2	GPRC5D
cluster_81	4	ATP6V0A1	ATP6V0A2	HBXIP	LAMTOR1
cluster_82	4	ATP6V1B1	ATP6V1B2	ATP6V1C2	ATP6V1G1
cluster_83	4	ATP6V1B2	ATP6V1D	ATP6V1G1	TBC1D24
cluster_84	4	ATXN7L3	FAM48A	TAF12	USP22
cluster_85	4	BCR	CSNK2A1	CSNK2A2	CSNK2B
cluster_86	4	BCR	YWHAB	YWHAG	YWHAH
cluster_87	4	BNIP1	CCDC107	STX18	STX5
cluster_88	4	BNIP1	NBAS	STX18	TEX28
cluster_89	4	BRD8	C20orf20	MORF4L1	S100A2
cluster_90	4	BUB1	BUB1B	BUB3	CDC20
cluster_91	4	C10orf2	FAM120A	HNRNPC	PABPC5
cluster_92	4	C11orf49	C19orf20	EIF3F	LRRC49
cluster_93	4	C15orf23	DYNLL1	DYNLL2	SPAG5
cluster_94	4	C15orf24	COX4NB	SLC18A1	TMEM85
cluster_95	4	C15orf59	MED28	MED30	MED4
cluster_96	4	C17orf59	CYTB	UQCRH	UQCRQ
cluster_97	4	C17orf71	C19orf20	LRRC49	NICN1
cluster_98	4	C19orf21	RPS6KA1	RPS6KA2	RPS6KA3
cluster_99	4	C1orf85	TUBB	TUBB2A	TUBB2C
cluster_100	4	C20orf7	NDUFAF4	NDUFS3	NDUFS7
cluster_101	4	C3AR1	NDUFB3	NDUFB5	NDUFC2
cluster_102	4	C4orf19	PDCD10	STK24	STK25
cluster_103	4	C6orf222	YWHAE	YWHAG	YWHAZ
cluster_104	4	CAB39	CAB39L	STK11	STRADA
cluster_105	4	CAMK2A	CAMK2B	CAMK2D	CAMK2G
cluster_106	4	CAMKK2	PRKAA2	PRKAB1	PRKAG1
cluster_107	4	CAPZA1	CAPZA2	CAPZB	CCDC53
cluster_108	4	CASQ2	GTF3C1	GTF3C2	GTF3C3
cluster_109	4	CBFB	FBXW12	RUNX1	RUNX2
cluster_110	4	CBX3	DSN1	MIS12	PMF1
cluster_111	4	CBX6	PCDHGB2	PCDHGB4	PCDHGB5
cluster_112	4	CCDC132	TSSC1	VPS53	VPS54
cluster_113	4	CCDC6	PPP4R2	SMEK1	SMEK2
cluster_114	4	CCNB2	CDK1	CDK17	CDKN1B
cluster_115	4	CCNC	CDK19	CDK8	DNAJC12
cluster_116	4	CCNH	CDK7	ERCC2	MNAT1
cluster_117	4	CCT2	CCT3	CCT5	HDAC3
cluster_118	4	CCT2	CCT5	CCT7	RFWD3
cluster_119	4	CD6	CIRH1A	WDR43	WDR75
cluster_120	4	CD97	ND5	NDUFB3	NDUFB8
cluster_121	4	CDC73	LEO1	PAF1	TULP2
cluster_122	4	CENPL	PRKRA	RPL13	RPLP0
cluster_123	4	CENPO	CENPP	CENPQ	ITGB3BP
cluster_124	4	CERKL	EIF3B	EIF3G	EIF3I
cluster_125	4	CHUK	IKBKB	IKBKG	MAP3K14
cluster_126	4	CIRH1A	MAD2L1	NOL11	WDR43
cluster_127	4	COBLL1	PACSIN1	PACSIN2	PACSIN3
cluster_128	4	COG2	COG6	COG7	DUSP16
cluster_129	4	COMMD1	COMMD4	COMMD6	COMMD9
cluster_130	4	COPS2	COPS6	COPS7B	KLHDC3
cluster_131	4	COPS4	COPS5	COPS6	DENR
cluster_132	4	CORO1A	CORO1B	CORO1C	CORO6
cluster_133	4	COX7A2L	NAT8B	UQCRB	UQCRQ
