cluster_0	5	CCT2	CCT4	CCT5	CCT7	CCT8
cluster_1	5	RPL23	RPL35	RPL4	RPS18	RPS9
cluster_2	4	YWHAB	YWHAG	YWHAH	YWHAZ
cluster_3	4	YWHAE	YWHAG	YWHAH	YWHAQ
cluster_4	3	ANAPC1	CDC16	CDC27
cluster_5	3	CCT3	CCT6A	TCP1
cluster_6	4	PSMA2	PSMB5	PSMB6	PSMB7
cluster_7	3	PFDN1	PFDN5	VBP1
cluster_8	3	PSMD13	PSMD6	PSMD8
cluster_9	9	PSMC1	PSMC2	PSMC4	PSMC5	PSMD1	PSMD12	PSMD14	PSMD2	PSMD7
cluster_10	4	PSMC2	PSMC4	PSMC5	PSMD1
cluster_11	3	CLTA	CLTB	CLTC
cluster_12	3	KIF3A	KIF3B	KIFAP3
cluster_13	3	POLR1A	POLR1B	POLR1C
cluster_14	3	PSMA2	PSMA3	PSMA5
cluster_15	3	LSM2	LSM4	LSM8
cluster_16	3	RPA1	RPA2	RPA3
cluster_17	3	COPS4	COPS5	COPS6
cluster_18	3	PELP1	SENP3	TEX10
cluster_19	4	EIF2B2	EIF2B3	EIF2B4	EIF2B5
cluster_20	4	EEF1A1	EEF1B2	EEF1D	EEF1G
cluster_21	3	PRPF3	PRPF4	SART3
cluster_22	3	EMC1	EMC2	EMC3
cluster_23	4	PFDN1	PFDN2	PFDN4	VBP1
cluster_24	3	PSMA6	PSMB2	PSMB4
cluster_25	3	UGT1A10	UGT1A7	UGT1A9
cluster_26	3	SF3A1	SF3A2	SF3A3
cluster_27	4	DYNC1H1	DYNC1I2	DYNC1LI1	DYNC1LI2
cluster_28	3	POLR2B	POLR2C	POLR2L
cluster_29	4	CDC73	CTR9	LEO1	PAF1
cluster_30	3	EXOC1	EXOC2	EXOC4
cluster_31	3	PDCD10	STK25	STK26
cluster_32	3	DSN1	KNL1	SPC24
cluster_33	4	PWP2	TBL3	WDR3	WDR36
cluster_34	3	CPSF1	CPSF2	CPSF3
cluster_35	3	SNF8	VPS25	VPS36
cluster_36	3	ATP5F1A	ATP5F1B	ATP5F1C
cluster_37	3	SNRPD2	SNRPD3	SNRPE
cluster_38	5	EXOSC1	EXOSC4	EXOSC5	EXOSC8	EXOSC9
cluster_39	3	RANBP2	RANGAP1	RCC1
cluster_40	3	ELP1	ELP2	ELP3
cluster_41	8	ACTR10	ACTR1A	DCTN1	DCTN2	DCTN3	DCTN4	DCTN5	DCTN6
cluster_42	3	NUP188	NUP205	NUP93
cluster_43	3	C21orf66	RSRC1	TFIP11
cluster_44	3	EIPR1	VPS50	VPS51
cluster_45	3	RAD21	SMC1B	STAG1
cluster_46	4	PDS5A	PDS5B	SMC1A	SMC3
cluster_47	3	ILK	LIMS1	RSU1
cluster_48	15	RPL12	RPL19	RPL21	RPL23	RPL24	RPL27	RPL27A	RPL36	RPS14	RPS18	RPS19	RPS23	RPS3	RPS4X	RPS9
cluster_49	3	RAD21	SMC1A	SMC3
cluster_50	4	HNRNPU	MCM2	MCM4	MCM6
cluster_51	3	BCAS2	CDC5L	CTNNBL1
cluster_52	3	TAF1	TAF3	TAF6
cluster_53	4	CPSF1	CPSF4	FIP1L1	WDR33
cluster_54	8	CD2BP2	DDX23	EFTUD2	PRPF31	PRPF6	PRPF8	SART1	SNRNP200
cluster_55	3	PDCD4	YWHAE	YWHAQ
cluster_56	3	EEF1A1	EEF1G	HSPA5
cluster_57	3	NOL9	TEX10	WDR18
cluster_58	3	FKBP1A	TAGLN2	TAGLN3
cluster_59	3	EL52	FBL	HSP90AB1
cluster_60	6	RPL23	RPL3L	RPS16	RPS18	RPS23	RPS9
cluster_61	3	SULT1A1	SULT1A2	SULT1A3
cluster_62	3	CPSF2	CPSF4	WDR33
cluster_63	4	AP1B1	AP1G1	AP1M1	AP1S1
cluster_64	3	RASSF2	STK3	STK4
cluster_65	3	NUDT5	PYCR1	PYCR2
cluster_66	3	KCNIP1	KCNIP2	KCNIP4
cluster_67	5	CENPO	CENPP	CENPQ	CENPU	ITGB3BP
cluster_68	3	BAG6	GET4	RNF126
cluster_69	4	SNRPA	SNRPD1	SNRPD2	SNRPD3
cluster_70	3	IDH3A	IDH3B	IDH3G
cluster_71	3	PIH1D1	URI1	UXT
cluster_72	3	EMC3	EMC7	MMGT1
cluster_73	4	ARMC8	MAEA	RANBP9	RMND5A
cluster_74	4	EFTUD2	PRPF8	SNRNP200	TUBB
cluster_75	3	HOMER1	HOMER2	HOMER3
cluster_76	4	MZT1	TUBGCP2	TUBGCP3	TUBGCP5
cluster_77	5	DSN1	NUF2	SPC24	SPC25	ZWINT
cluster_78	3	CEP131	KIAA0753	OFD1
cluster_79	3	CUL4A	DDB1	DDB2
cluster_80	3	EFTUD2	HNRNPC	RALY
cluster_81	3	ACTB	RUVBL1	RUVBL2
cluster_82	3	ACTN4	FLNA	FLNB
cluster_83	3	PRDX1	PRDX2	PRDX3
cluster_84	4	BCAS2	PLRG1	PRPF19	YJU2
cluster_85	3	E2F6	L3MBTL2	MGA
cluster_86	3	GID8	MKLN1	YPEL5
cluster_87	3	NIP7	NOP2	RRP15
cluster_88	3	TBC1D5	VPS26A	VPS26B
cluster_89	4	LAS1L	NOL9	PELP1	WDR18
cluster_90	3	GON7	OSGEP	TP53RK
cluster_91	3	G3BP1	G3BP2	USP10
cluster_92	3	HSPA5	HYOU1	PDIA6
cluster_93	3	AP2A1	AP2B1	AP2S1
