cluster_0	6	ABI2	PRR20A	PRR20B	PRR20C	PRR20D	PRR20E
cluster_1	6	BANP	PRR20A	PRR20B	PRR20C	PRR20D	PRR20E
cluster_2	6	C10orf55	PRR20A	PRR20B	PRR20C	PRR20D	PRR20E
cluster_3	6	CABP2	PRR20A	PRR20B	PRR20C	PRR20D	PRR20E
cluster_4	6	CCDC120	CYSRT1	HOXA1	KRTAP6-1	KRTAP6-2	KRTAP6-3
cluster_5	6	CDC37	PRR20A	PRR20B	PRR20C	PRR20D	PRR20E
cluster_6	6	CYSRT1	GPS2	HOXA1	KRTAP6-1	KRTAP6-2	KRTAP6-3
cluster_7	6	DVL3	PRR20A	PRR20B	PRR20C	PRR20D	PRR20E
cluster_8	6	FAM9A	PRR20A	PRR20B	PRR20C	PRR20D	PRR20E
cluster_9	6	HIVEP1	PRR20A	PRR20B	PRR20C	PRR20D	PRR20E
cluster_10	6	HNRNPK	RBM3	RBMY1A1	RBMY1F	RBMY1J	SNRPA
cluster_11	6	KRTAP19-1	PRR20A	PRR20B	PRR20C	PRR20D	PRR20E
cluster_12	6	MAGED1	PRR20A	PRR20B	PRR20C	PRR20D	PRR20E
cluster_13	6	NCK2	PRR20A	PRR20B	PRR20C	PRR20D	PRR20E
cluster_14	6	NFYC	PRR20A	PRR20B	PRR20C	PRR20D	PRR20E
cluster_15	6	NTAQ1	PRR20A	PRR20B	PRR20C	PRR20D	PRR20E
cluster_16	6	OXER1	PRR20A	PRR20B	PRR20C	PRR20D	PRR20E
cluster_17	6	PHF1	PRR20A	PRR20B	PRR20C	PRR20D	PRR20E
cluster_18	6	POGZ	PRR20A	PRR20B	PRR20C	PRR20D	PRR20E
cluster_19	6	POU6F2	PRR20A	PRR20B	PRR20C	PRR20D	PRR20E
cluster_20	6	PRR20A	PRR20B	PRR20C	PRR20D	PRR20E	RBPMS
cluster_21	6	PRR20A	PRR20B	PRR20C	PRR20D	PRR20E	RIPPLY1
cluster_22	6	PRR20A	PRR20B	PRR20C	PRR20D	PRR20E	RNF4
cluster_23	6	PRR20A	PRR20B	PRR20C	PRR20D	PRR20E	SH3RF1
cluster_24	6	PRR20A	PRR20B	PRR20C	PRR20D	PRR20E	THAP1
cluster_25	6	PRR20A	PRR20B	PRR20C	PRR20D	PRR20E	TOLLIP
cluster_26	6	PRR20A	PRR20B	PRR20C	PRR20D	PRR20E	TRIM35
cluster_27	6	PRR20A	PRR20B	PRR20C	PRR20D	PRR20E	VAC14
cluster_28	5	CAMK2A	CAMK2B	CAMK2D	CAMK2G	TTC5
cluster_29	5	CYSRT1	KRTAP1-3	KRTAP10-9	PRKAA2	SPRY1
cluster_30	5	LCE1A	LCE1C	LCE2B	LCE5A	PLAC8
cluster_31	5	PRR20A	PRR20B	PRR20C	PRR20D	PRR20E
cluster_32	4	BSCL2	CYSRT1	HOXA1	KRTAP6-3
cluster_33	4	CATSPER1	CYSRT1	KRTAP9-3	SPMIP6
cluster_34	4	CREB5	CYSRT1	FHL3	HOXA1
cluster_35	4	CTAG1A	CTAG1B	SGTA	SGTB
cluster_36	4	CTAG1A	CTAG1B	UBQLN1	UBQLN2
cluster_37	4	CYSRT1	HOXA1	HR	KRTAP6-3
cluster_38	4	CYSRT1	HSBP1	KRTAP1-1	KRTAP10-9
cluster_39	4	CYSRT1	KRTAP1-1	KRTAP10-8	SCARF1
cluster_40	4	CYSRT1	KRTAP10-8	KRTAP12-3	TCEA2
cluster_41	4	CYSRT1	KRTAP6-1	KRTAP6-3	MED25
cluster_42	4	GLYCTK	KRTAP19-5	KRTAP6-2	KRTAP6-3
cluster_43	4	HOXA1	KRTAP1-3	KRTAP5-9	SDCBP
cluster_44	4	KRTAP1-3	KRTAP9-3	KRTAP9-8	UNC119
cluster_45	4	KRTAP10-8	KRTAP12-3	KRTAP9-2	ZNF20
cluster_46	4	NAPB	STX1A	STX2	STX4
cluster_47	4	RBMY1A1	RBMY1F	RBMY1J	ZNF317
cluster_48	4	RNF4	UBE2I	UBQLN1	UBQLN2
cluster_49	4	SEC22A	STX1A	STX2	STX4
cluster_50	4	STX16	STX1A	STX2	STX4
cluster_51	3	AARD	STX1A	STX2
cluster_52	3	ABHD5	COQ8A	SH3GLB1
cluster_53	3	ABI3	STX1A	STX2
cluster_54	3	ACOT7	UBQLN1	UBQLN2
cluster_55	3	ACTN3	CTAG1A	CTAG1B
cluster_56	3	ADAMTSL4	GNG13	KRTAP9-2
cluster_57	3	ADAMTSL4	POLR1C	SPRY1
cluster_58	3	ADARB1	EHHADH	PRKRA
cluster_59	3	ADIPOQ	SGTA	SGTB
cluster_60	3	AGR2	SGTA	SGTB
cluster_61	3	AGR2	UBQLN1	UBQLN2
cluster_62	3	AIRIM	CTAG1A	CTAG1B
cluster_63	3	AKAP17A	RNF4	UBE2I
cluster_64	3	ANAPC11	KRTAP6-1	KRTAP6-2
cluster_65	3	AP1M1	KRTAP10-7	KRTAP10-8
cluster_66	3	AP2M1	C1orf35	NKAPD1
cluster_67	3	APOL2	STX1A	STX2
cluster_68	3	AQP6	EFNA5	GPR152
cluster_69	3	AQP6	GOLT1A	GPR152
cluster_70	3	AQP6	LEPROT	TMX2
cluster_71	3	AQP6	PAEP	TMX2
cluster_72	3	ARHGEF5	MID2	ZRANB1
cluster_73	3	ARID5A	BAG4	LASP1
cluster_74	3	ARID5A	C14orf119	LASP1
cluster_75	3	ARID5A	KRTAP19-3	LASP1
cluster_76	3	ARID5A	LASP1	LENG8
cluster_77	3	ARID5A	LASP1	POU1F1
cluster_78	3	ARID5A	LASP1	RBFOX1
cluster_79	3	ARID5A	LASP1	TEKT4
cluster_80	3	ARID5A	LASP1	TNS2
cluster_81	3	ARL6IP1	CERT1	REEP6
cluster_82	3	ARL6IP1	PICK1	REEP6
cluster_83	3	ARL6IP1	PTPN9	REEP6
cluster_84	3	ARL6IP1	REEP6	SDCBP
cluster_85	3	ARL6IP1	REEP6	TMED8
cluster_86	3	ATN1	KRTAP19-5	KRTAP6-2
cluster_87	3	ATOSB	MID2	ZRANB1
cluster_88	3	AXIN2	TXLNA	TXLNB
cluster_89	3	BCL2L1	RNF4	UBE2I
cluster_90	3	BET1	GOSR2	TMCO5A
cluster_91	3	BEX2	CTAG1A	CTAG1B
cluster_92	3	BEX3	S100A1	S100Z
cluster_93	3	BLCAP	CYSRT1	HOXA1
cluster_94	3	BLOC1S6	SMN1	SMN2
cluster_95	3	BMF	CTAG1A	CTAG1B
cluster_96	3	BPIFA1	UBQLN1	UBQLN2
cluster_97	3	BYSL	SMN1	SMN2
cluster_98	3	C14orf119	CTAG1A	CTAG1B
cluster_99	3	C19orf25	KRTAP1-3	KRTAP10-8
cluster_100	3	C1QL4	SGTA	SGTB
cluster_101	3	C1orf35	CSNK2A1	FAM133A
cluster_102	3	C1orf35	DRC4	NKAPD1
cluster_103	3	C2orf68	KRTAP1-3	KRTAP10-8
cluster_104	3	CAMK2B	CAMK2G	CDC37
cluster_105	3	CAMK2B	CAMK2G	KRTAP19-3
cluster_106	3	CAMK2B	CAMK2G	MRPL11
cluster_107	3	CAMK2B	CAMK2G	TNPO2
cluster_108	3	CARD9	MID2	ZRANB1
cluster_109	3	CATSPER1	HOXA1	TRIM8
cluster_110	3	CATSPER1	HOXA1	ZIM2
cluster_111	3	CATSPER1	HOXA1	ZNF688
cluster_112	3	CATSPER1	HOXA1	ZNF774
cluster_113	3	CCDC116	CTAG1A	CTAG1B
cluster_114	3	CCDC125	ZNF792	ZNF837
cluster_115	3	CCDC196	TXLNA	TXLNB
cluster_116	3	CCHCR1	CTAG1A	CTAG1B
cluster_117	3	CCHCR1	TXLNA	TXLNB
cluster_118	3	CDC37	CTAG1A	CTAG1B
cluster_119	3	CDR2	TXLNA	TXLNB
cluster_120	3	CEP57	TXLNA	TXLNB
cluster_121	3	CEP57L1	TXLNA	TXLNB
cluster_122	3	CERCAM	RHOXF2	VENTX
cluster_123	3	CFAP53	TXLNA	TXLNB
cluster_124	3	CFP	CYSRT1	HOXA1
cluster_125	3	CHCHD2	CTAG1A	CTAG1B
cluster_126	3	CLCNKA	CYSRT1	KRTAP6-3
cluster_127	3	CNFN	CREB5	HOXA1
cluster_128	3	COQ8A	MAL2	SH3GLB1
