cluster_0	3	PYGB	PYGL	PYGM
cluster_1	4	CRMP1	DPYSL2	DPYSL3	DPYSL5
cluster_2	4	E2F4	E2F6	TFDP1	TFDP2
cluster_3	3	ACBD6	NMT1	NMT2
cluster_4	3	CHRNA1	GRID1	LILRB3
cluster_5	3	CNNM1	PTP4A1	PTP4A2
cluster_6	3	EED	EZH1	EZH2
cluster_7	3	ELOB	ELOC	METTL21C
cluster_8	3	LEO1	PAF1	TCEA3
cluster_9	4	PRPS1	PRPS2	PRPSAP1	PRPSAP2
cluster_10	3	PRMT1	PRMT8	SYNCRIP
cluster_11	4	GSTM2	GSTM3	GSTM4	GSTM5
cluster_12	3	AMPD1	AMPD2	AMPD3
cluster_13	3	APOBEC3A	CHMP3	STAMBP
cluster_14	3	BPGM	DYNC1LI1	PGAM2
cluster_15	3	BTG2	CNOT7	TOB2
cluster_16	3	BUD23	THUMPD3	TRMT112
cluster_17	3	CPLANE2	FUZ	RND3
cluster_18	3	CYREN	ERCC6L2	MKLN1
cluster_19	3	DNAJB4	DPCD	RUVBL2
cluster_20	3	EIF4E	EIF4EBP2	EIF4EBP3
cluster_21	3	FEM1C	MALT1	MCM8
cluster_22	3	GPN1	GPN2	RPAP2
cluster_23	3	HIRIP3	PMM2	SGK2
cluster_24	3	MAPK7	UBE2C	ZKSCAN1
cluster_25	3	MAT1A	MAT2A	PRC1
cluster_26	3	NDFIP1	NDFIP2	UQCRH
cluster_27	3	TCP11L2	TUBA4A	TUBA8
cluster_28	4	AAGAB	AP1S3	AP2A2	AP2S1
cluster_29	4	AP4M1	FNTA	PGGT1B	USP47
cluster_30	4	APBA2	MAGEB6	ROBO1	SUPV3L1
cluster_31	4	ACTB	ACTG1	CFL1	DSTN
cluster_32	3	ABTB1	EEF1A2	EEF1D
cluster_33	3	ACADVL	CALR	TAF1B
cluster_34	3	AP1AR	ATCAY	KLC1
cluster_35	3	ARMC8	GID8	RMND5A
cluster_36	3	ARPP19	FCF1	SPDYC
cluster_37	3	BTF3	NAA40	NMT2
cluster_38	3	C1orf174	CTDSPL2	PDIK1L
cluster_39	3	CETN1	CETN2	SGSM1
cluster_40	3	CFAP43	SEC13	SEC16B
cluster_41	3	COPS2	GPS1	PSMD11
cluster_42	3	CUL2	RBX1	UBE2M
cluster_43	3	DLD	ITGB1BP1	PDHX
cluster_44	3	DNAJB1	EEF1A1	TTLL12
cluster_45	3	G3BP1	G3BP2	USP10
cluster_46	3	GEMIN6	GEMIN7	RASL11B
cluster_47	3	GNAI1	GNAI2	PCP2
cluster_48	3	NDUFA5	NDUFS3	TTR
cluster_49	3	NELFB	NELFCD	NELFE
cluster_50	3	PHKA2	PHKB	PHKG2
cluster_51	4	AGAP1	C1QC	WDR83OS	ZNF534
cluster_52	4	AGPS	GORASP1	SCRN1	ZNF25
cluster_53	4	S100A1	S100A2	S100A4	S100B
cluster_54	4	FAM229B	TSKS	TSSK1B	TSSK2
cluster_55	5	HNRNPC	HNRNPCL1	HNRNPCL2	RALY	RALYL
cluster_56	3	ARHGEF2	RHOA	RIPOR2
cluster_57	3	ATG14	BECN1	UVRAG
cluster_58	3	ATG16L1	RAB33B	RUFY2
cluster_59	3	BIRC5	LAMTOR4	LAMTOR5
cluster_60	3	CBR4	MEPE	ZXDC
cluster_61	3	CCDC88C	GNAI3	RGS14
cluster_62	3	CCNB1IP1	CUL5	RNF7
cluster_63	3	CHMP5	VPS4B	ZFYVE19
cluster_64	3	COMMD1	COMMD6	COMMD9
cluster_65	3	EXOC3L2	GPR148	TNFSF18
cluster_66	3	LAMTOR2	LAMTOR3	TFE3
cluster_67	3	MAFG	MAFK	NFE2L2
cluster_68	3	METTL1	RABGGTB	WDR4
cluster_69	3	NAMPT	PTCD2	USP49
cluster_70	3	PACSIN1	PACSIN2	PACSIN3
cluster_71	3	RGL3	RIT1	RIT2
cluster_72	3	TAF6L	TAF9	TAF9B
cluster_73	3	VPS26A	VPS26B	VPS35
cluster_74	4	CTIF	DDX19A	DDX19B	MIF4GD
cluster_75	8	ADARB1	EIF2AK2	NKRF	PNPT1	PRKRA	STAU1	STRBP	ZNF346
cluster_76	9	HBA1	HBA2	HBB	HBD	HBE1	HBG2	HBM	HBQ1	RFESD
cluster_77	4	OCRL	PHETA1	PHETA2	PLEKHJ1
cluster_78	5	LGALS7	LGALS7B	SSBP1	TAB1	TGM5
cluster_79	4	CAB39	MED7	SHMT2	STK24
cluster_80	4	EEPD1	GRIP1	MFAP3	XDH
cluster_81	4	LYPD6	MBD5	SS18L2	YY1AP1
cluster_82	3	ADI1	APPL1	RAB5A
cluster_83	3	AIMP1	RARS1	ZNF521
cluster_84	3	ALS2CL	RAB31	RAB5C
cluster_85	3	ANKK1	C12orf57	INSL3
cluster_86	3	ANKRD37	ANKRD50	HIF1AN
cluster_87	3	AP5Z1	NUP93	OPCML
cluster_88	3	ARCN1	COPB1	GTPBP4
cluster_89	3	ATG12	ATG3	IER2
cluster_90	3	B4GALT7	RABGGTA	RABGGTB
cluster_91	3	CACNG2	WAS	WIPF1
cluster_92	3	CHRAC1	POLE3	POLE4
cluster_93	3	CLDND1	CXCR1	ZDHHC4
cluster_94	3	CNOT9	GADD45A	GADD45B
cluster_95	3	DUSP10	DUSP16	MAPK8
cluster_96	3	DYDC2	POLR1A	UBXN2A
cluster_97	3	DYNLT3	PMS1	ZC3H14
cluster_98	3	E2F8	OLFM3	STUB1
cluster_99	3	EMC2	EMC8	EMC9
cluster_100	3	FOXJ1	FOXN4	RFX2
cluster_101	3	GALT	GRPEL1	NQO1
cluster_102	3	GSTA2	GSTA4	GSTA5
cluster_103	3	H2AB2	H2AB3	H2BC13
cluster_104	3	HACE1	RAB4A	RBSN
cluster_105	3	HAUS2	LIG4	XRCC4
cluster_106	3	HNRNPH2	MSI1	MSI2
cluster_107	3	IGBP1	PPP4C	PPP6C
cluster_108	3	NPM1	NPM2	PLEKHF1
cluster_109	3	PMM1	RAB6A	RAB6B
cluster_110	3	RAB27A	SYTL1	SYTL3
cluster_111	3	SETBP1	SPANXA1	SPANXA2
cluster_112	5	IMPA1	IMPA2	NAE1	SLC44A3	UBA3
cluster_113	5	FTSJ3	LRRC45	PHLDA2	SSX2	SSX2B
cluster_114	3	NKRF	PRKRA	STAU1
cluster_115	5	CNKSR1	CYTH1	CYTH2	CYTH3	IPCEF1
cluster_116	4	CCDC59	MAGEA8	ZNF221	ZNF224
cluster_117	4	CLIC2	CLIC4	CLIC5	TPRN
cluster_118	3	CLIP4	MAP7	ZNF114
cluster_119	3	ACAA1	DNAJC27	TFCP2
cluster_120	3	ACAD11	CD2BP2	ZNHIT2
cluster_121	3	ARIH2	BUB1	UGP2
cluster_122	3	BMX	STAT3	SYK
cluster_123	3	C5orf22	ELOF1	WBP11
cluster_124	3	CDCA3	CTDSP2	CTDSPL
cluster_125	3	CHIA	FBXL7	TBC1D5
cluster_126	3	DCUN1D5	HUS1	RAD9A
cluster_127	3	DIRAS2	MARCHF10	UNC45A
cluster_128	3	DUSP12	EIF5	M6PR
cluster_129	3	EEPD1	GRIP1	WDR6
cluster_130	3	EGF	MGST1	VIP
cluster_131	3	FBXO16	NXF3	NXT1
cluster_132	3	GNG3	LYPD6	SS18L2
cluster_133	3	HPGDS	LIF	PDE3B
cluster_134	3	IFIT1B	IFIT2	IFIT3
