cluster_0	5	CABP2	PRR20B	PRR20C	PRR20D	PRR20E
cluster_1	4	CAMK2B	CAMK2D	CAMK2G	TTC5
cluster_2	4	HNRNPCL1	HNRNPCL2	RALY	RALYL
cluster_3	9	ANKHD1	MBNL3	PRR20A	PRR20B	PRR20C	PRR20D	PRR20E	RBM23	ZCCHC14
cluster_4	9	FOXP3	PRR20A	PRR20B	PRR20C	PRR20D	PRR20E	RBM42	SP4	ZNF683
cluster_5	3	ALAS1	JRK	UTP14C
cluster_6	3	APOBEC3C	PRR3	RBMY1J
cluster_7	3	ARHGEF28	CTAG1A	CTAG1B
cluster_8	3	ATP6V0D2	NICN1	RUSC1
cluster_9	3	CCHCR1	IQCC	PROSER3
cluster_10	3	CLIP4	MAP7	ZNF114
cluster_11	3	CRMP1	DPYSL2	DPYSL3
cluster_12	3	CTIF	DDX19B	MIF4GD
cluster_13	3	EEF2KMT	HPRT1	PRTFDC1
cluster_14	3	FGF11	RPL22	STAC3
cluster_15	3	HBB	HBM	HBZ
cluster_16	3	KCTD10	KCTD13	TNFAIP1
cluster_17	3	KRTAP5-2	KRTAP5-4	KRTAP5-9
cluster_18	3	KRTAP6-1	KRTAP6-2	NAF1
cluster_19	3	LSM2	LSM6	PATL1
cluster_20	3	PACSIN1	PACSIN2	PACSIN3
cluster_21	3	PCYT1A	PCYT1B	VKORC1L1
cluster_22	3	PRKAA2	PRKAB1	PRKAG1
cluster_23	3	PRMT1	PRMT8	SYNCRIP
cluster_24	3	PSEN1	PSENEN	SLC10A6
cluster_25	3	PSMC3	PSMC6	PSMD9
cluster_26	3	PYGB	PYGL	PYGM
cluster_27	3	RBMY1A1	RBMY1F	RBMY1J
cluster_28	3	S100A1	S100A4	S100B
cluster_29	3	SMN1	SMN2	SNU13
cluster_30	3	STX10	STX1A	STX4
cluster_31	3	ZBTB26	ZBTB48	ZBTB6
cluster_32	3	ZKSCAN4	ZNF446	ZSCAN30
cluster_33	4	ACTB	ACTG1	CFL1	DSTN
cluster_34	4	APOBEC3C	PPP1R37	RBMY1F	RBMY1J
cluster_35	4	LCE1C	LCE2B	LCE3A	LCE5A
cluster_36	4	LSM2	LSM3	LSM5	LSM6
cluster_37	4	OCRL	PHETA1	PHETA2	PLEKHJ1
cluster_38	4	PGBD1	ZKSCAN4	ZKSCAN7	ZSCAN32
