cluster_0	3	PYGB	PYGL	PYGM
cluster_1	4	CRMP1	DPYSL2	DPYSL3	DPYSL5
cluster_2	4	E2F4	E2F6	TFDP1	TFDP2
cluster_3	4	PRPS1	PRPS2	PRPSAP1	PRPSAP2
cluster_4	4	GSTM2	GSTM3	GSTM4	GSTM5
cluster_5	3	ACBD6	NMT1	NMT2
cluster_6	3	CHRNA1	GRID1	LILRB3
cluster_7	3	CNNM1	PTP4A1	PTP4A2
cluster_8	3	EED	EZH1	EZH2
cluster_9	3	ELOB	ELOC	METTL21C
cluster_10	3	LEO1	PAF1	TCEA3
cluster_11	3	PRMT1	PRMT8	SYNCRIP
cluster_12	4	AAGAB	AP1S3	AP2A2	AP2S1
cluster_13	4	AP4M1	FNTA	PGGT1B	USP47
cluster_14	4	APBA2	MAGEB6	ROBO1	SUPV3L1
cluster_15	4	NDFIP1	NDFIP2	PRRG1	UQCRH
cluster_16	4	ACTB	ACTG1	CFL1	DSTN
cluster_17	3	AMPD1	AMPD2	AMPD3
cluster_18	3	APOBEC3A	CHMP3	STAMBP
cluster_19	3	BPGM	DYNC1LI1	PGAM2
cluster_20	3	BTG2	CNOT7	TOB2
cluster_21	3	BUD23	THUMPD3	TRMT112
cluster_22	3	CPLANE2	FUZ	RND3
cluster_23	3	CYREN	ERCC6L2	MKLN1
cluster_24	3	DNAJB4	DPCD	RUVBL2
cluster_25	3	EIF4E	EIF4EBP2	EIF4EBP3
cluster_26	3	FEM1C	MALT1	MCM8
cluster_27	3	GPN1	GPN2	RPAP2
cluster_28	3	HIRIP3	PMM2	SGK2
cluster_29	3	MAPK7	UBE2C	ZKSCAN1
cluster_30	3	MAT1A	MAT2A	PRC1
cluster_31	3	TCP11L2	TUBA4A	TUBA8
cluster_32	4	AGAP1	C1QC	WDR83OS	ZNF534
cluster_33	4	AGPS	GORASP1	SCRN1	ZNF25
cluster_34	4	GEMIN6	GEMIN7	MAGI1	RASL11B
cluster_35	5	HNRNPC	HNRNPCL1	HNRNPCL2	RALY	RALYL
cluster_36	9	HBA1	HBA2	HBB	HBD	HBE1	HBG2	HBM	HBQ1	RFESD
cluster_37	8	ADARB1	EIF2AK2	NKRF	PNPT1	PRKRA	STAU1	STRBP	ZNF346
cluster_38	4	S100A1	S100A2	S100A4	S100B
cluster_39	4	FAM229B	TSKS	TSSK1B	TSSK2
cluster_40	3	ABTB1	EEF1A2	EEF1D
cluster_41	3	ACADVL	CALR	TAF1B
cluster_42	3	AP1AR	ATCAY	KLC1
cluster_43	3	ARMC8	GID8	RMND5A
cluster_44	3	ARPP19	FCF1	SPDYC
cluster_45	3	BTF3	NAA40	NMT2
cluster_46	3	C1orf174	CTDSPL2	PDIK1L
cluster_47	3	CETN1	CETN2	SGSM1
cluster_48	3	CFAP43	SEC13	SEC16B
cluster_49	3	COPS2	GPS1	PSMD11
cluster_50	3	CUL2	RBX1	UBE2M
cluster_51	3	DLD	ITGB1BP1	PDHX
cluster_52	3	DNAJB1	EEF1A1	TTLL12
cluster_53	3	G3BP1	G3BP2	USP10
cluster_54	3	GNAI1	GNAI2	PCP2
cluster_55	3	NDUFA5	NDUFS3	TTR
cluster_56	3	NELFB	NELFCD	NELFE
cluster_57	3	PHKA2	PHKB	PHKG2
cluster_58	4	CTIF	DDX19A	DDX19B	MIF4GD
cluster_59	5	LGALS7	LGALS7B	SSBP1	TAB1	TGM5
cluster_60	12	C11orf65	CALM1	CALM2	CALM3	CAMTA2	DRC9	IQCE	IQCN	KCNN1	POC5	SPATA17	ZNF280A
cluster_61	5	IMPA1	IMPA2	NAE1	SLC44A3	UBA3
cluster_62	4	OCRL	PHETA1	PHETA2	PLEKHJ1
cluster_63	5	FTSJ3	LRRC45	PHLDA2	SSX2	SSX2B
cluster_64	4	CAB39	MED7	SHMT2	STK24
cluster_65	4	EEPD1	GRIP1	MFAP3	XDH
cluster_66	4	LYPD6	MBD5	SS18L2	YY1AP1
cluster_67	4	VPS26A	VPS26B	VPS29	VPS35
cluster_68	3	ARHGEF2	RHOA	RIPOR2
cluster_69	3	ATG14	BECN1	UVRAG
cluster_70	3	ATG16L1	RAB33B	RUFY2
cluster_71	3	BIRC5	LAMTOR4	LAMTOR5
cluster_72	3	CBR4	MEPE	ZXDC
cluster_73	3	CCDC88C	GNAI3	RGS14
cluster_74	3	CCNB1IP1	CUL5	RNF7
cluster_75	3	CHMP5	VPS4B	ZFYVE19
cluster_76	3	COMMD1	COMMD6	COMMD9
cluster_77	3	EXOC3L2	GPR148	TNFSF18
cluster_78	3	LAMTOR2	LAMTOR3	TFE3
cluster_79	3	MAFG	MAFK	NFE2L2
cluster_80	3	METTL1	RABGGTB	WDR4
cluster_81	3	NAMPT	PTCD2	USP49
cluster_82	3	PACSIN1	PACSIN2	PACSIN3
cluster_83	3	RGL3	RIT1	RIT2
cluster_84	3	TAF6L	TAF9	TAF9B
cluster_85	5	CNKSR1	CYTH1	CYTH2	CYTH3	IPCEF1
cluster_86	75	ADAMTSL4	ALPP	CATSPER1	CHIC2	CHRD	CRCT1	CREB5	CYP21A2	CYSRT1	GNE	GRN	KRTAP1-1	KRTAP1-3	KRTAP1-5	KRTAP10-1	KRTAP10-10	KRTAP10-11	KRTAP10-5	KRTAP10-7	KRTAP10-8	KRTAP10-9	KRTAP12-1	KRTAP12-3	KRTAP12-4	KRTAP2-3	KRTAP2-4	KRTAP4-11	KRTAP4-12	KRTAP4-2	KRTAP4-4	KRTAP4-5	KRTAP5-11	KRTAP5-3	KRTAP5-4	KRTAP5-6	KRTAP5-7	KRTAP5-9	KRTAP9-2	KRTAP9-3	KRTAP9-8	LCE1A	LCE1B	LCE1C	LCE1D	LCE1E	LCE1F	LCE2A	LCE2B	LCE2C	LCE2D	LCE3A	LCE3B	LCE3C	LCE3D	LCE3E	LCE4A	LCE5A	MAPKBP1	NBPF19	NOTCH2NLA	NR4A3	NUFIP2	OTX1	PCSK5	POU4F2	SHFL	SMCP	SPRY1	TGFB1	TRIM42	TSPAN4	VASN	VWC2	VWC2L	YY1
cluster_87	6	ASB9	CKM	CKMT1A	CKMT1B	OCM	PSMC3
cluster_88	12	DNAJC9	H3-4	H3C1	H3C10	H3C11	H3C12	H3C13	H3C4	H3C6	H3C7	H3C8	NASP
cluster_89	4	ADI1	APPL1	RAB5A	UBE2O
cluster_90	4	ALS2CL	RAB22A	RAB31	RAB5C
cluster_91	4	CCDC59	MAGEA8	ZNF221	ZNF224
cluster_92	4	CLIC2	CLIC4	CLIC5	TPRN
cluster_93	5	ETV4	LEMD3	SMAD1	SMAD4	SMAD9
cluster_94	3	AIMP1	RARS1	ZNF521
cluster_95	3	ANKK1	C12orf57	INSL3
cluster_96	3	ANKRD37	ANKRD50	HIF1AN
cluster_97	3	AP5Z1	NUP93	OPCML
cluster_98	3	ARCN1	COPB1	GTPBP4
cluster_99	3	ATG12	ATG3	IER2
cluster_100	3	B4GALT7	RABGGTA	RABGGTB
cluster_101	3	CACNG2	WAS	WIPF1
cluster_102	3	CHRAC1	POLE3	POLE4
cluster_103	3	CLDND1	CXCR1	ZDHHC4
cluster_104	3	CNOT9	GADD45A	GADD45B
cluster_105	3	DUSP10	DUSP16	MAPK8
cluster_106	3	DYDC2	POLR1A	UBXN2A
cluster_107	3	DYNLT3	PMS1	ZC3H14
cluster_108	3	E2F8	OLFM3	STUB1
