cluster_0	26	AGAP1	CBY1	CDC25B	CDK16	DCLK1	DENND1A	EIF4E2	GIGYF1	KCTD3	KIF13B	KSR1	LIMA1	LRFN1	MAGI1	MAST3	PLEKHA5	PPM1H	RTKN	SH3PXD2A	SIPA1L1	SRGAP2	SRSF12	SYDE1	TESK2	ZBTB21	ZNF638
cluster_1	18	CRCP	POLR1D	POLR2E	POLR2F	POLR2H	POLR2K	POLR2L	POLR3A	POLR3B	POLR3C	POLR3D	POLR3E	POLR3F	POLR3G	POLR3GL	POLR3H	POLR3K	RYBP
cluster_2	16	CCDC22	CCDC93	COMMD1	COMMD10	COMMD2	COMMD3	COMMD4	COMMD5	COMMD6	COMMD7	COMMD8	COMMD9	DENND10	VPS26C	VPS29	VPS35L
cluster_3	15	CDC5L	PSMC1	PSMC2	PSMC3	PSMC4	PSMC5	PSMC6	PSMD1	PSMD11	PSMD12	PSMD13	PSMD2	PSMD3	SNW1	UCHL5
cluster_4	15	GADD45GIP1	MRPL12	MRPL13	MRPL18	MRPL2	MRPL27	MRPL30	MRPL37	MRPL4	MRPL42	MRPL50	MRPL52	MRPL53	MRPS30	OXA1L
cluster_5	14	BIRC5	MED1	MED10	MED14	MED17	MED18	MED20	MED21	MED22	MED29	MED30	MED31	MED6	MED8
cluster_6	14	PSMC1	PSMC2	PSMC4	PSMC5	PSMC6	PSMD1	PSMD10	PSMD14	PSMD2	PSMD4	PSMD6	PTPN2	TMEM31	UCHL5
cluster_7	13	ASB6	COPS2	COPS3	COPS4	COPS5	COPS6	COPS7A	COPS7B	CUL4B	CUL5	DCUN1D1	GPS1	NEDD8
cluster_8	13	FGFR1OP2	MOB4	PDCD10	SIKE1	STK24	STK25	STK26	STRIP1	STRIP2	STRN	STRN3	STRN4	TRAF3IP3
cluster_9	12	BTBD2	COPS2	COPS3	COPS4	COPS5	COPS6	COPS7A	COPS7B	COPS8	COPS9	CUL3	GPS1
cluster_10	12	CLOCK	DZIP3	GIT2	GRIPAP1	NCKAP5L	PSMD9	RABEP1	RABGAP1L	RABGEF1	TUFT1	VPS53	YEATS4
cluster_11	12	NEURL4	POLR2A	POLR2B	POLR2C	POLR2D	POLR2G	POLR2H	POLR2I	POLR2J	POLR2K	POLR2M	RPAP2
cluster_12	11	ADRM1	DUSP4	PSMC2	PSMC3	PSMC4	PSMC5	PSMC6	PSMD11	PSMD14	PSMD3	PSMD7
cluster_13	11	ANAPC1	ANAPC10	ANAPC16	ANAPC2	ANAPC4	ANAPC5	ANAPC7	CDC16	CDC26	CDC27	MAD2L1
cluster_14	11	ANLN	CAPZA2	DBN1	FLNA	MYH9	MYO18A	MYO19	MYO5C	MYO6	PPP1CB	SYNPO
cluster_15	11	ARID1B	BCL7A	DPF2	RELB	SMARCA2	SMARCC1	SMARCC2	SMARCD1	SMARCD2	SMARCD3	SMARCE1
cluster_16	11	ARMC8	GID8	MAEA	MKLN1	RAB8A	RANBP10	RANBP9	RMND5A	RMND5B	WDR26	YPEL5
cluster_17	11	MBL2	PSMA1	PSMA2	PSMA3	PSMA6	PSMB1	PSMB2	PSMB3	PSMB4	PSMB7	PSME4
cluster_18	11	MRPL12	SEPTIN1	SEPTIN10	SEPTIN11	SEPTIN2	SEPTIN3	SEPTIN5	SEPTIN6	SEPTIN7	SEPTIN8	SEPTIN9
cluster_19	11	MRPS11	MRPS17	MRPS18B	MRPS18C	MRPS2	MRPS23	MRPS26	MRPS27	MRPS34	MRPS6	ZC3H4
cluster_20	10	ABL2	DDX6	LRRK2	SFN	YWHAB	YWHAE	YWHAG	YWHAH	YWHAQ	YWHAZ
cluster_21	10	ACTB	ACTG1	CCT2	CCT3	CCT4	CCT5	CCT6A	CCT7	CCT8	TCP1
cluster_22	10	APPBP2	COPS2	COPS3	COPS6	COPS7B	COPS8	COPS9	CUL2	DCUN1D1	GPS1
cluster_23	10	ARL13B	IFT22	IFT27	IFT46	IFT52	IFT56	IFT70A	IFT70B	IFT74	IFT81
cluster_24	10	CBY1	CGN	CWC25	GIGYF1	INPP5E	KCTD3	KIF13B	KSR1	LPIN3	ZBTB21
cluster_25	10	COPS2	COPS3	COPS4	COPS6	COPS7A	COPS8	CUL4A	CUL4B	GPS1	WDTC1
cluster_26	10	COPS2	COPS3	COPS5	COPS6	COPS7B	COPS8	CUL2	CUL5	KLHDC3	NEDD8
cluster_27	10	COPS2	COPS3	COPS5	COPS6	COPS9	CUL3	CUL5	DCUN1D1	GPS1	KLHL18
cluster_28	10	EIF1B	PSMA2	PSMA3	PSMA6	PSMA7	PSMB3	PSMB7	PSMD13	PSMD6	UCHL5
cluster_29	10	IFT172	IFT22	IFT46	IFT52	IFT57	IFT70A	IFT74	IFT81	IFT88	ZC2HC1C
cluster_30	10	MED14	MED17	MED19	MED22	MED26	MED27	MED29	MED6	MED8	ZCCHC10
cluster_31	9	ABI1	ARHGAP12	CYFIP1	CYFIP2	NCKAP1	NHSL3	WASF1	WASF2	WASF3
cluster_32	9	ADRM1	NCAPD3	PSMC1	PSMC2	PSMC4	PSMC5	PSMC6	PSMD10	UCHL5
cluster_33	9	ARCN1	CDH5	COPA	COPB1	COPB2	COPE	COPG1	COPG2	COPZ1
cluster_34	9	ATG9A	EMC1	EMC10	EMC2	EMC3	EMC4	EMC7	EMC8	MMGT1
cluster_35	9	CCDC22	COMMD1	COMMD2	COMMD3	COMMD4	COMMD5	COMMD6	COMMD8	NUP62
cluster_36	9	CCDC9	EIF4A3	MAGOH	NCBP3	PNN	RBM8A	RNPS1	SAP18	ZC3H14
cluster_37	9	CCDC92	PAAF1	PSMC1	PSMC5	PSMC6	PSMD13	PSMD3	PSMD5	PSMD8
cluster_38	9	CYBRD1	DBN1	FLNA	IQGAP1	LIMA1	MYH9	MYO18A	MYO19	SYNPO
cluster_39	9	DIS3L	EXOSC1	EXOSC10	EXOSC2	EXOSC3	EXOSC4	EXOSC7	EXOSC8	EXOSC9
cluster_40	9	DUSP15	PSMC3	PSMC5	PSMD1	PSMD13	PSMD2	PSMD3	PSMD6	PSMD7
cluster_41	9	EPB41	PSMA1	PSMA6	PSMA7	PSMB1	PSMB3	PSMB5	PSMB7	PSMC4
cluster_42	9	FGFR1OP2	ISCA2	MOB4	SIKE1	SLMAP	STRIP1	STRN	STRN3	STRN4
cluster_43	9	GTF2F1	POLR2A	POLR2B	POLR2C	POLR2D	POLR2E	POLR2F	POLR2G	POLR2K
cluster_44	9	HAUS1	HAUS2	HAUS3	HAUS4	HAUS5	HAUS6	HAUS7	HAUS8	RNF10
cluster_45	9	MRPS12	MRPS15	MRPS17	MRPS18C	MRPS2	MRPS25	MRPS26	MRPS34	NOA1
cluster_46	9	PSMA1	PSMA2	PSMA5	PSMB10	PSMB3	PSMB4	PSMB7	PSMB9	TMEM31
cluster_47	9	PSMC1	PSMC3	PSMC4	PSMD13	PSMD14	PSMD2	PSMD4	PSMD6	TP53BP1
cluster_48	9	PSMC3	PSMC4	PSMC5	PSMC6	PSMD1	PSMD14	PSMD2	PSMD4	TMEM67
cluster_49	9	SNRPA1	SNRPB	SNRPB2	SNRPD3	SNRPE	SNRPF	SNRPG	SNRPN	SNUPN
cluster_50	9	TBC1D14	TRAPPC1	TRAPPC11	TRAPPC12	TRAPPC13	TRAPPC2L	TRAPPC3	TRAPPC6B	TRAPPC8
cluster_51	8	ACTR5	ACTR8	INO80	INO80C	INO80D	NFRKB	RUVBL1	RUVBL2
cluster_52	8	ADRM1	PAAF1	PSMC1	PSMD13	PSMD14	PSMD2	PSMD5	PSMD8
cluster_53	8	ADRM1	PLEKHA7	PSMC5	PSMC6	PSMD11	PSMD13	PSMD6	PSMD7
cluster_54	8	ADRM1	PSMC6	PSMD11	PSMD12	PSMD3	PSMD4	PSMD6	XRCC6
cluster_55	8	AMBRA1	COPS2	COPS5	COPS6	CUL3	CUL4A	CUL4B	GPS1
cluster_56	8	ANAPC1	ANAPC2	ANAPC4	ANAPC5	CDC16	CDC27	FBXO5	SKP1
cluster_57	8	ANLN	CAPZA2	LIMA1	MYH9	MYO18A	PPP1CB	SYNPO	TNFAIP1
cluster_58	8	ARMC8	GID4	GID8	LILRB4	MAEA	MKLN1	RANBP10	RMND5A
cluster_59	8	AURKB	MRPL1	MRPL10	MRPL16	MRPL23	MRPL27	MRPL28	MRPL4
cluster_60	8	BBS1	BBS2	BBS4	BBS5	BBS7	BBS9	LZTFL1	TTC8
cluster_61	8	BNIP1	C19orf25	NAPA	NBAS	SCFD1	SCFD2	STX18	USE1
cluster_62	8	BRD8	DMAP1	EP400	EPC1	FAM9B	MORF4L1	MORF4L2	VPS72
cluster_63	8	C9orf78	CD2BP2	DDX23	EFTUD2	PRPF6	PRPF8	SNRNP200	USP39
cluster_64	8	CDC42EP4	SEPTIN10	SEPTIN11	SEPTIN14	SEPTIN2	SEPTIN3	SEPTIN5	SEPTIN8
cluster_65	8	CDCA4	PPP2CA	PPP2CB	PPP2R1A	PPP2R1B	PPP2R2A	PPP2R2C	PPP2R2D
cluster_66	8	CNOT1	CNOT10	CNOT11	CNOT2	CNOT3	CNOT6L	CNOT7	PDK4
cluster_67	8	COG1	COG2	COG3	COG4	COG5	COG6	COG7	COG8
cluster_68	8	COPS2	COPS3	COPS5	COPS6	COPS7A	CUL1	FBXL14	GPS1
cluster_69	8	DAP3	MCAT	MRPS18B	MRPS2	MRPS23	MRPS24	MRPS7	ZNF133
cluster_70	8	DDX20	GEMIN2	GEMIN4	GEMIN5	GEMIN6	GEMIN7	GEMIN8	NCKIPSD
cluster_71	8	EIF3A	EIF3B	EIF3C	EIF3D	EIF3G	EIF3H	EIF3I	USP3
cluster_72	8	EPAS1	POLR2A	POLR2C	POLR2D	POLR2E	POLR2G	POLR2H	POLR2I
cluster_73	8	GATA1	MED1	MED14	MED16	MED17	MED19	MED20	MED21
cluster_74	8	HTRA4	PSMA6	PSMB3	PSMB4	PSMC1	PSMC5	PSMD12	PSMD13
cluster_75	8	INTU	PSMC3	PSMC4	PSMC6	PSMD12	PSMD13	PSMD7	PSMD8
cluster_76	8	KLHL8	SNRPA	SNRPA1	SNRPB2	SNRPC	SNRPE	SNRPF	SNRPG
cluster_77	8	MB21D2	TMEM102	TRAPPC1	TRAPPC10	TRAPPC2L	TRAPPC3	TRAPPC4	TRAPPC9
cluster_78	8	MED1	MED14	MED15	MED16	MED20	MED23	MED24	RAF1
cluster_79	8	POLR2E	POLR2F	POLR2H	POLR2K	POLR3B	POLR3E	POLR3F	UVRAG
cluster_80	8	PSMA2	PSMA6	PSMB3	PSMC1	PSMC4	PSMC5	PSMC6	TOP2A
cluster_81	8	PSMB1	PSMC1	PSMC2	PSMC3	PSMC5	PSMC6	PSMD3	RYBP
cluster_82	8	UGT1A1	UGT1A10	UGT1A3	UGT1A4	UGT1A6	UGT1A7	UGT1A8	UGT1A9
cluster_83	7	ACTR10	ACTR1A	ACTR1B	DCTN4	DCTN5	DCTN6	GSN
cluster_84	7	ACTR2	ACTR3	ARPC1B	ARPC2	ARPC3	ARPC4	WASL
cluster_85	7	AICDA	EXOSC1	EXOSC2	EXOSC3	EXOSC4	EXOSC6	EXOSC7
cluster_86	7	AKIRIN2	PSMA2	PSMA5	PSMB2	PSMB3	PSMB9	PSMC4
cluster_87	7	AKT1	EGFR	FBXW7	MYBL2	SMARCA4	SPOP	TP53
cluster_88	7	ARID1A	ARID1B	DPF3	ECH1	SMARCA2	SMARCD1	SMARCD2
cluster_89	7	ARMC5	MYZAP	POLR2A	POLR2G	POLR2J	RPAP2	RPRD1B
cluster_90	7	ATF3	ATF4	BATF	BATF3	CEBPA	CEBPG	DDIT3
cluster_91	7	ATP5F1A	ATP5F1B	ATP5F1C	ATP5ME	ATP5PB	ATP5PF	CERS2
cluster_92	7	ATP6V0A1	ATP6V0D1	ATP6V1A	ATP6V1B2	ATP6V1D	ATP6V1F	SLC38A9
cluster_93	7	BYSL	MRPS17	MRPS18B	MRPS22	MRPS26	MRPS27	MRPS34
cluster_94	7	C1D	DIS3L	EXOSC2	EXOSC3	EXOSC5	EXOSC6	MPHOSPH6
cluster_95	7	C1D	MPHOSPH6	NOL11	UTP15	UTP4	WDR43	WDR75
cluster_96	7	CAPZA2	DBN1	FLNA	KCTD10	LIMA1	MYO18A	MYO1C
cluster_97	7	CAPZA2	FLNA	MYH9	MYO5A	MYO5C	PDLIM7	SYNPO
cluster_98	7	CBR1	IMMP1L	IMMP2L	LACTB	OMA1	PARL	YME1L1
cluster_99	7	CBX1	CBX3	CBX5	DSN1	MIS12	NSL1	PMF1
cluster_100	7	CCDC22	COMMD7	COMMD8	COMMD9	DENND10	OR13G1	VPS35L
cluster_101	7	CCDC74A	PSMC1	PSMC4	PSMD10	PSMD13	PSMD14	PSMD8
cluster_102	7	CEP131	CEP162	CEP290	OFD1	PCM1	PCNT	PIBF1
cluster_103	7	CNOT11	CNOT2	CNOT6	CNOT6L	CNOT7	NFKB1	TNKS1BP1
cluster_104	7	COMMD1	COMMD4	COMMD5	COMMD6	COMMD7	COMMD9	DENND10
cluster_105	7	COMMD10	COMMD2	COMMD3	COMMD5	COMMD7	DENND10	VPS26C
cluster_106	7	COPS5	COPS6	CUL1	CUL3	CUL4A	FBXO3	NEDD8
cluster_107	7	CPSF1	CPSF2	CPSF3	CPSF4	FIP1L1	SYMPK	WDR33
cluster_108	7	CTTNBP2NL	MINK1	MOB4	STRIP1	STRN	STRN3	STRN4
cluster_109	7	DBN1	LIMA1	MYH9	MYO1B	MYO1C	OCRL	SYNPO
cluster_110	7	EMSY	GATAD1	KDM5A	MORF4L1	MORF4L2	PHF12	SIN3B
cluster_111	7	EXOC1	EXOC2	EXOC3	EXOC5	EXOC6	EXOC6B	EXOC7
cluster_112	7	FECH	FLNA	MYH9	MYO19	PPP1CB	PPP1CC	SYNPO
cluster_113	7	GNB2	PDRG1	PFDN1	PFDN2	PFDN4	PFDN6	VBP1
cluster_114	7	GOSR1	KCNK3	STX12	STX3	STX6	STX7	VAMP3
cluster_115	7	HTT	MED15	MED21	MED22	MED28	MED30	MED31
cluster_116	7	ITM2B	PSMA5	PSMC1	PSMC2	PSMC3	PSMC6	PSMD1
cluster_117	7	KPNB1	NUP107	NUP133	NUP153	NUP98	NXF1	SEH1L
cluster_118	7	LSM1	LSM2	LSM3	LSM4	LSM5	LSM6	LSM7
cluster_119	7	LTK	MRPL1	MRPL28	MRPL37	MRPL4	MRPL43	MRPS30
cluster_120	7	METTL3	PSMC1	PSMC3	PSMC4	PSMC5	PSMC6	PSMD13
cluster_121	7	MRPL23	MRPL24	MRPL28	MRPL41	MRPL47	NDUFAB1	SMYD3
cluster_122	7	NEMF	RPL10	RPL11	RPL19	RPL5	RPS11	RPS16
cluster_123	7	OCA2	PSMA7	PSMB1	PSMB6	PSMD11	PSMD2	PSMD6
cluster_124	7	POLR1A	POLR1B	POLR1E	POLR1F	POLR1G	POLR1H	RRN3
cluster_125	7	POLR2D	POLR2E	POLR2G	POLR2J	POLR2M	RPRD1B	SCAF1
cluster_126	7	POLR3A	POLR3B	POLR3C	POLR3D	POLR3E	POLR3F	SLC28A1
cluster_127	7	POP1	POP4	POP5	POP7	RPP21	RPP25L	RPP40
cluster_128	7	PRKN	PSMA1	PSMA5	PSMA6	PSMA7	PSMB4	PSMD2
cluster_129	7	PSMA2	PSMA6	PSMB1	PSMB3	PSMB5	PSMD13	VHL
cluster_130	6	AAK1	AP1B1	AP2A1	AP2B1	AP2M1	AP2S1
cluster_131	6	ACD	POT1	TERF1	TERF2	TERF2IP	TINF2
cluster_132	6	ACTR1A	ACTR1B	CPVL	DCTN2	DCTN5	DCTN6
cluster_133	6	ACTR1A	DCTN2	DYNC1I2	DYNC1LI1	DYNC1LI2	NIN
cluster_134	6	ACTR6	DMAP1	P4HA3	SRCAP	VPS72	YEATS4
cluster_135	6	ADRM1	PIPSL	PSMC1	PSMD10	PSMD12	PSMD2
cluster_136	6	ADRM1	PSMC2	PSMD1	PSMD2	PSMD4	RAD23A
cluster_137	6	AFF1	AFF4	EPB41L1	EPB41L3	MLLT1	MLLT3
cluster_138	6	AGO1	AGO2	FKBP5	HSP90AA1	HSP90AB1	PTGES3
cluster_139	6	AHCYL1	AHCYL2	PIP4K2A	PIP4K2B	PIP4K2C	PLCD3
cluster_140	6	AIMP1	EEF1E1	LARS1	MARS1	RAF1	RARS1
cluster_141	6	AIMP1	IARS1	KARS1	LARS1	RARS1	TARS3
cluster_142	6	AKAP10	PSMB1	PSMC1	PSMC6	PSMD1	PSMD3
cluster_143	6	AKAP8	YWHAB	YWHAE	YWHAG	YWHAH	YWHAZ
cluster_144	6	AKT1	BRAF	FBXW7	MSH2	SMARCA4	TP53
cluster_145	6	AKT1	CD44	SMAD4	SMARCA4	SPOP	TP53
cluster_146	6	AKT1	EGFR	MAPK15	PTEN	PTPN11	SPOP
cluster_147	6	ANAPC1	ANAPC16	ANAPC5	CDC16	CDC27	H3C1
cluster_148	6	ANAPC1	ANAPC7	CDC16	CDC26	CDC27	H1-0
cluster_149	6	ANKRD55	IFT46	IFT52	IFT70A	IFT70B	IFT74
cluster_150	6	ANLN	CAPZA2	MICAL3	MYH9	MYO18A	MYO19
cluster_151	6	AP5B1	AP5M1	AP5S1	AP5Z1	SPG11	ZFYVE26
cluster_152	6	AP5S1	COPS3	COPS4	COPS7A	COPS7B	GPS1
cluster_153	6	APBB1	DDOST	OST4	RPN1	RPN2	STT3B
cluster_154	6	APEX1	MCM2	MCM3	MCM4	MCM5	MCM6
cluster_155	6	APOOL	CHCHD3	CHCHD6	IMMT	MTX2	SAMM50
cluster_156	6	ARFGEF2	PSMC6	PSMD13	PSMD2	PSMD3	PSMD4
cluster_157	6	ARMC8	GID8	LYPD1	MAEA	MKLN1	YPEL5
cluster_158	6	ATF2	CCT2	CCT3	CCT4	CCT5	TCP1
cluster_159	6	ATG4C	PSMC1	PSMC2	PSMC4	PSMC5	PSMD2
cluster_160	6	ATP5F1A	ATP5F1B	ATP5F1C	ATP5PB	ATP5PO	NCAPD3
cluster_161	6	ATP5F1B	ATP5F1C	ATP5ME	ATP5MG	ATP5PF	SUPV3L1
cluster_162	6	AXIN1	GID8	MAEA	RANBP10	RANBP9	WDR26
cluster_163	6	BAIAP2	CBY1	KCTD3	KIF13B	KSR1	ZBTB21
cluster_164	6	BCLAF1	EIF4A3	ERH	MAGOH	PRMT1	THOC1
cluster_165	6	BTC	EIF2B1	EIF2B2	EIF2B3	EIF2B4	EIF2B5
cluster_166	6	CAND1	CUL3	CUL4A	CUL4B	CUL5	RNF7
cluster_167	6	CANX	NAPA	NSF	SCFD1	STX18	STX5
cluster_168	6	CAPRIN1	EIF3A	EIF3B	EIF3L	G3BP1	PHACTR3
cluster_169	6	CAPZA2	DBN1	DIXDC1	FLNA	MYH9	MYO1C
cluster_170	6	CCDC125	SFN	YWHAE	YWHAH	YWHAQ	YWHAZ
cluster_171	6	CCDC22	CCDC93	COMMD1	COMMD3	COMMD9	VPS35
cluster_172	6	CCL13	CCL21	CCL24	CCL5	CXCL11	XCL1
cluster_173	6	CCL21	CCL5	CXCL11	CXCL12	PF4	TNFAIP6
cluster_174	6	CCNB1	CEP128	CEP162	CNTRL	OFD1	PCM1
cluster_175	6	CCP110	SFN	YWHAB	YWHAG	YWHAH	YWHAQ
cluster_176	6	CCT2	CCT3	CCT4	CCT6A	CCT8	MSTO1
cluster_177	6	CCT2	CCT3	CCT5	CCT6B	CCT7	METAP2
cluster_178	6	CCT2	CCT3	CCT6A	CCT7	CELA2B	TCP1
cluster_179	6	CCT2	CCT5	CCT6A	CCT8	HTT	TCP1
cluster_180	6	CDC37	CHUK	FKBP5	HSP90AA1	HSP90AB1	IKBKB
cluster_181	6	CDC5L	RFC2	RFC3	RFC4	RFC5	SNW1
cluster_182	6	CDC7	GTF2H1	GTF2H2C	GTF2H3	GTF2H4	GTF2H5
cluster_183	6	CDK19	FBXW7	MED10	MED12	MED13	MED28
cluster_184	6	CDK5RAP2	CEP128	CEP135	CEP63	ODF2	PCM1
cluster_185	6	CEP131	KIAA0753	OFD1	PCM1	PIBF1	SAV1
cluster_186	6	CEP135	CEP63	FXR1	FXR2	ODF2	POC5
cluster_187	6	CEP63	PSMC3	PSMC6	PSMD11	PSMD2	PSMD3
cluster_188	6	CFTR	DDX6	SLAIN1	YWHAB	YWHAG	YWHAH
cluster_189	6	CGN	DENND4C	HDAC4	KIF13B	KSR1	SUPV3L1
cluster_190	6	COMMD1	COMMD2	COMMD4	COMMD6	SSRP1	SUPT16H
cluster_191	6	COPS2	COPS4	COPS5	COPS6	GPS1	IRF8
cluster_192	6	COPS2	COPS4	COPS6	COPS7A	COPS7B	SYCE3
cluster_193	6	CPVL	SEPTIN11	SEPTIN2	SEPTIN7	SEPTIN8	SEPTIN9
cluster_194	6	CSNK2A1	CSNK2A2	CSNK2B	RING1	RNF2	YAF2
cluster_195	6	CSNK2A1	CSNK2A2	CSNK2B	ZMYND8	ZNF592	ZNF687
cluster_196	6	CTTNBP2	CTTNBP2NL	STRIP1	STRIP2	STRN	STRN3
cluster_197	6	CYSRT1	KRTAP10-8	KRTAP12-3	KRTAP9-2	LYVE1	NOTCH2NLC
cluster_198	6	DENND1A	DENND4A	DENND4C	INPP5E	LRFN1	PPM1H
cluster_199	6	DKC1	GRHL1	NPM1	RPL36	RPS6	ZC3HAV1
cluster_200	6	DOK4	GSE1	HMG20A	HMG20B	RCOR1	RCOR3
cluster_201	6	DPF1	DPF3	SMARCD1	SMARCD2	SMARCD3	SS18
cluster_202	6	DSN1	MIS12	NSL1	PMF1	SPC24	SPC25
