cluster_0	4	CYLD	THOC1	THOC2	THOC3
cluster_1	3	HCRT	HLA-DQA1	HLA-DQB1
cluster_2	4	ELL	SNF8	VPS25	VPS36
cluster_3	3	KMT2E	NCR2	NCR3
cluster_4	3	ARHGEF2	NOD1	RIPK2
cluster_5	3	GLMN	NLRC4	NLRP3
cluster_6	3	CCR2	CCR5	NUP85
cluster_7	3	MCC	MCCC1	MCCC2
cluster_8	4	CEBPZ	NFYA	NFYB	NFYC
cluster_9	5	CCNH	CDK7	GNB5	MNAT1	PCNA
cluster_10	5	GOT2	NUP107	NUP133	NUP214	NUP85
cluster_11	3	ANP32A	PPP2CA	SET
cluster_12	4	BCAR1	NPHP1	NPHP4	PTK2B
cluster_13	3	RPL12	SEC23A	SEC23B
cluster_14	3	ATG14	BECN1	COL4A5
cluster_15	3	CDC6	CDT1	LAMC3
cluster_16	3	PRL	SEC61A1	SEC61G
cluster_17	3	CCL1	CDK7	MNAT1
cluster_18	3	MKI67	NIFK	RRP1
cluster_19	3	MPV17	MPV17L	MPV17L2
cluster_20	3	CRIPT	DLG1	DLG4
cluster_21	5	H2BC1	H2BC13	H2BU1	HLA-DRA	HLA-DRB1
cluster_22	6	DLAT	PDHA1	PDHB	PDK2	PDK3	STAT5A
cluster_23	3	AKT1	PI3	PIK3CD
cluster_24	3	B2M	HLA-B	HNRNPC
cluster_25	3	CDK19	CDK8	CNOT4
cluster_26	3	ICE2	NAA10	NAA15
cluster_27	3	MCAT	TEAD1	TEAD4
cluster_28	3	SF3A2	SNRPA	TRIR
cluster_29	6	CHRNA3	CHRNA4	CHRNA6	CHRNB2	CHRNB4	JAK2
cluster_30	3	DEGS1	DEGS2	METAP2
cluster_31	3	EMG1	MAT2A	NOP14
cluster_32	4	CDC7	ELN	MCM4	MCM5
cluster_33	3	DNTTIP2	FAF1	FCF1
cluster_34	3	CD80	CD86	CLTA
cluster_35	4	BRD2	BRD3	HLA-DMA	HLA-DOA
cluster_36	4	KCTD10	KCTD13	POLD2	TNFAIP1
cluster_37	3	CARS1	CARS2	PIGL
cluster_38	3	CLTC	CLTCL1	TACC3
cluster_39	4	GTPBP4	NCF1	NCF2	NCF4
cluster_40	3	ADSL	FKBP4	FKBP5
cluster_41	5	AKR1D1	H6PD	HSD11B1	HSD11B2	SRD5A1
cluster_42	3	AKAP5	ROBO2	ROBO3
cluster_43	3	SHANK1	SHANK2	SHARPIN
cluster_44	3	CDA	ERAL1	TYMP
cluster_45	3	COX11	RPL26	RPL26L1
cluster_46	4	GHRH	GNAS	PTH	STX16
cluster_47	3	CACNA2D2	SESN1	SESN3
cluster_48	3	MALSU1	NADSYN1	QPRT
cluster_49	3	FGB	HLA-DRA	HLA-DRB5
cluster_50	3	DNAL1	MAP1B	MAP1LC3A
cluster_51	3	CNST	GGA1	GGA2
cluster_52	3	AGO1	DDX6	TRIM32
cluster_53	3	CACNB3	CACNB4	GUK1
cluster_54	3	PHF20	TAB2	TAB3
cluster_55	3	PIWIL1	TNRC6A	WDR5
cluster_56	3	SMAD4	TGFBRAP1	VPS39
cluster_57	3	INTS11	INTS9	SEM1
cluster_58	4	PFN1	PFN3	PFN4	YKT6
cluster_59	3	CHMP1A	CHMP5	PIAS2
cluster_60	3	NPR1	PLXNA1	SEMA3A
cluster_61	3	PCBP2	SLC11A2	SLC40A1
cluster_62	3	CASR	CDC73	PTH
cluster_63	3	SMPD2	SMPD3	TNF
cluster_64	4	IMPA1	IMPA2	PIGL	TTF2
cluster_65	3	CIAO2B	MMS19	PPAT
cluster_66	3	RBM19	TBX3	TBX5
cluster_67	3	IGFBP3	NONO	SFPQ
cluster_68	4	NDUFS4	PRKACA	PRKACB	PRKACG
cluster_69	3	ALG1	ALG6	PDCD6
cluster_70	3	IGHMBP2	NELFA	NELFE
cluster_71	3	ABCE1	CIAO1	MMS19
cluster_72	3	GTF2H2	GTF2H2C	NAIP
cluster_73	3	CNST	PPP1CA	PPP1CC
cluster_74	3	CFC1	GDF1	MED13L
cluster_75	3	KDELR1	SDF2	SDF2L1
cluster_76	3	RARS2	TSEN54	VRK1
cluster_77	3	CBWD1	CBWD2	METAP1
cluster_78	12	COX7C	FAU	RPL17	RPL27	RPL31	RPL34	RPL35	RPL35A	RPL37	RPL39	RPS17	TOMM7
cluster_79	3	BAP1	GNA11	GNAQ
cluster_80	3	COLQ	DOK7	SCN4A
cluster_81	3	FGF5	KRT71	RSPO2
cluster_82	3	CIDEA	COX7A1	UCP1
cluster_83	3	AK2	CASP10	FADD
cluster_84	3	AP3S1	AP3S2	RPL7A
cluster_85	3	TBPL1	TBPL2	TERF1
cluster_86	3	GNAT1	METAP1	METAP2
cluster_87	3	PHKA1	RPS4X	RPS4Y1
cluster_88	3	ALS2	SETX	SPG11
cluster_89	3	SNAP23	SNTG1	STXBP3
cluster_90	3	CLK3	COQ7	TELO2
cluster_91	3	DLX5	DLX6	SEM1
cluster_92	3	BCL7A	BCL7C	CALD1
cluster_93	3	APOA5	BUD13	CETP
cluster_94	3	CEL	PXDN	PXDNL
cluster_95	3	CD36	MED20	MED30
cluster_96	5	ACVR1B	ACVR2B	GDF11	INHBA	LOC102723407
cluster_97	3	ALG1	ALG6	PLTP
cluster_98	4	CCR8	ULBP1	ULBP2	ULBP3
cluster_99	3	GORASP1	GORASP2	SMU1
cluster_100	3	ATG12	ATG3	PDCD6IP
cluster_101	3	BPGM	FECH	GYPB
cluster_102	3	CXCR1	YARS1	YARS2
cluster_103	3	CCR3	NARS1	NARS2
cluster_104	4	NOP14	PRKDC	UTP20	XRCC5
cluster_105	3	EIF1AX	GNA11	GNAQ
cluster_106	3	AIMP1	FAM126A	GJC2
cluster_107	3	OIP5	PRAME	TRIP6
cluster_108	3	CS	FH	TTF2
cluster_109	3	MCM7	VPS26A	VPS35
cluster_110	3	CD226	CPSF3	SSU72
cluster_111	3	MRPS15	MRPS5	TRA2A
cluster_112	3	ESCO1	ESCO2	NAT10
cluster_113	3	TAF5	TAF5L	WDR90
cluster_114	3	RRAGB	RRAGC	VPS39
cluster_115	3	ACAT1	NELFA	NELFB
cluster_116	3	AP2S1	CASR	GNA11
cluster_117	3	BHMT	CHDH	PEMT
cluster_118	3	AARS2	POLM	TENT4A
cluster_119	3	ITGB4	SFTPC	VTN
cluster_120	3	EPB42	SLC4A1	SNCA
cluster_121	3	CDK11A	RNPS1	SRSF7
cluster_122	3	F8A1	F8A2	F8A3
cluster_123	3	EIF3D	RPE	RPEL1
cluster_124	3	CD1A	CD1B	NOC2L
cluster_125	3	CREB3L3	HAMP	TMPRSS6
cluster_126	3	GFPT1	GFPT2	OGT
cluster_127	3	C11orf95	FAM118B	MAMLD1
cluster_128	3	CYP3A7	NDC80	NR1I2
cluster_129	4	CRP	GPT	MB	PIK3C2A
cluster_130	3	ACADM	GABRA2	GABRB1
cluster_131	3	AARS1	AIMP2	HSD17B4
cluster_132	3	HERC2	HLTF	RABGGTA
cluster_133	3	ERLEC1	OS9	SHH
cluster_134	3	CD2BP2	RNF40	SMU1
cluster_135	3	CACNA1G	CRABP1	NEUROG1
cluster_136	3	IFT172	VANGL2	WNT11
cluster_137	3	MC1R	MTAP	PLA2G6
cluster_138	3	EXOSC8	PRAME	TRIP6
cluster_139	3	CCDC92	DNAH10	ZNF664
cluster_140	3	FLG	FLG2	TSLP
cluster_141	5	PPP6C	PPP6R1	PPP6R2	PPP6R3	SF3B1
cluster_142	3	DGKQ	GAK	TMEM175
cluster_143	10	CDC6	CDT1	GRWD1	MCM4	MCM6	NOC3L	ORC2	ORC3	ORC5	WDR18
cluster_144	3	HSPD1	SF3A2	TRAP1
cluster_145	4	KRT18	KRT8	TNFRSF1B	TRADD
cluster_146	4	BCKDHB	CAPZA1	CAPZA2	PDHB
cluster_147	5	AKR1A1	GUSB	KL	MIOX	TRPV5
cluster_148	4	HK3	MNDA	TLR8	TYROBP
cluster_149	6	GTPBP4	RHO	SRP19	SRP54	SRP68	SRP9
cluster_150	3	FGF1	FIBP	S100A13
cluster_151	3	CCAR2	RANBP3	ZNF326
cluster_152	3	ALKAL1	ALKAL2	LTK
cluster_153	3	PNKP	REC114	TTF2
cluster_154	4	ABLIM1	ABLIM2	ABLIM3	ABRA
cluster_155	120	APMAP	ARL6IP1	ATP5F1A	ATP5F1C	ATP5PO	CCDC105	CD74	CUL7	CXorf66	EEF1A1	EEF1A2	EEF1G	EEF2	EFL1	EFTUD2	EIF1AX	EIF1AY	EIF5B	ENSP00000498801	ENSP00000499200	FANCE	FLT3LG	GFM1	H0YIJ7_HUMAN	H2BC18	H3BN98_HUMAN	H7C0C1_HUMAN	HMGN1	HMGN2	HMGN4	HSPBP1	IMP3	METAP1	MRNIP	MRPL1	MRPL11	MRPL12	MRPL13	MRPL16	MRPL17	MRPL19	MRPL2	MRPL20	MRPL21	MRPL22	MRPL24	MRPL27	MRPL3	MRPL32	MRPL33	MRPL36	MRPL4	MRPL9	MRPS10	MRPS11	MRPS12	MRPS14	MRPS15	MRPS16	MRPS2	MRPS5	MRPS6	MRPS7	MRPS9	MRRF	MRTO4	MT-ATP6	MTIF2	NOA1	NPSR1	PDCD11	PNPT1	POLR1A	POLR1B	POLR1C	POLR2B	POLR2C	POLR3A	POLR3B	PPP1R26	RPL10	RPL10A	RPL10L	RPL12	RPL13A	RPL17	RPL17-C18orf32	RPL18	RPL19	RPL26	RPL26L1	RPL3	RPL35	RPL3L	RPL7	RPL7L1	RPL8	RPL9	RPLP0	RPS13	RPS14	RPS15A	RPS20	RPS29	RPS3A	RPS5	RPSA	RSAD1	SEC61A1	SEC61A2	SIL1	SMKR1	SPDYE11	SPDYE14	SPDYE8P	SPDYE9P	TEX48	TSFM	TSR1	TUFM
cluster_156	3	BCLAF1	EMD	YTHDC1
cluster_157	3	APOM	GPANK1	S1PR2
cluster_158	3	ABCD3	ABCD4	RAD51
cluster_159	3	GPER1	GPR61	GPR62
cluster_160	3	TWF1	TWF2	WDR82
cluster_161	3	CASP2	CTSB	GABPB1
cluster_162	3	CDH2	PCDH10	PCDH19
cluster_163	3	FANCC	GSTP1	POR
cluster_164	3	NARS2	SLC25A28	SLC25A37
cluster_165	3	NCR3LG1	PTGDR	PTGDR2
cluster_166	6	DCDC2	DNAAF4	GCFC2	KIAA0319	MRPL19	PUM1
cluster_167	4	DNTTIP1	ELMSAN1	TRERF1	ZNF541
cluster_168	3	NIPSNAP3A	NIPSNAP3B	SPIC
cluster_169	3	IQGAP1	KPNB1	SNAI1
cluster_170	3	ANKRD50	C12orf57	PLAC8
cluster_171	3	ACE2	PDZK1	SCARB1
cluster_172	3	CBWD1	CBWD2	CBWD6
cluster_173	3	NDUFS2	POSTN	TGFBI
cluster_174	5	HNRNPA2B1	HNRNPDL	HNRNPF	SNRPA1	STAT4
cluster_175	3	ANKRD9	IMPDH2	SLC25A44
cluster_176	3	OR1F1	ZNF200	ZNF205
cluster_177	4	GPI	IMPA1	IMPA2	PIGQ
cluster_178	3	ACBD6	NMT1	NMT2
cluster_179	7	ALKBH3	ASCC1	ASCC2	ASCC3	PPIL2	TRIP4	ZNF598
cluster_180	3	DECR1	PTTG1	PTTG1IP
cluster_181	3	KCNRG	SLC25A16	TRIM13
cluster_182	4	COPB2	EEF1G	EPRS1	MRPS22
cluster_183	3	FOSL2	GLRX3	PRKCQ
cluster_184	3	KCNJ6	NBL1	TMEM63C
cluster_185	3	ADRB2	KCNJ9	SNX27
cluster_186	3	COL18A1	COL8A1	DR1
cluster_187	3	NIF3L1	PPIL3	THOC7
cluster_188	8	GIMAP1	GIMAP1-GIMAP5	GIMAP2	GIMAP4	GIMAP5	GIMAP6	GIMAP7	GIMAP8
cluster_189	3	BEND3	DDIAS	ERCC6L
cluster_190	3	FTCDNL1	LTO1	YAE1
cluster_191	3	DLGAP1	GUK1	KIF13B
cluster_192	3	DNM2	NME1	TIAM1
cluster_193	3	HACL1	HDDC3	ILVBL
cluster_194	3	GPLD1	PLPP1	PLPP6
cluster_195	3	KCTD2	MRPL50	UBE2I
cluster_196	3	BSG	HNRNPK	PPIL2
cluster_197	3	PSMB2	USP39	USP5
cluster_198	3	TMA7	UBL3	UBL5
cluster_199	3	DDX3Y	DDX4	PPP1CC
cluster_200	3	APOBEC3G	HDAC6	SMARCA2
cluster_201	4	DDX20	DHX38	GEMIN4	PPP4R2
cluster_202	3	CD47	UBQLN1	UBQLN2
cluster_203	3	CALHM1	CTNNA3	LRRTM3
cluster_204	3	ATRAID	MAGEH1	SLC37A3
cluster_205	3	MOXD1	TAAR5	TAAR6
cluster_206	3	AP4M1	CD63	SPP1
cluster_207	4	DLG5	SAFB	SAFB2	SORBS3
cluster_208	4	C9orf78	MED22	SURF1	SURF2
cluster_209	3	CCDC17	GPBP1L1	TMEM69
cluster_210	9	COL11A2	HSD17B8	KIFC1	PFDN6	RGL2	RXRB	SLC39A7	STUB1	TAPBP
cluster_211	3	CCDC130	KDM8	RCCD1
cluster_212	3	SCN7A	SCN8A	SCNM1
cluster_213	3	ABL1	AHI1	JAK2
cluster_214	4	KBTBD8	KLHL29	NOLC1	TCOF1
cluster_215	3	MED15	TRIM11	ZNF74
cluster_216	3	GGPS1	M0R3G1_HUMAN	PRPF18
cluster_217	3	CPTP	GLTP	PLEKHA3
cluster_218	3	EYA4	FASTKD5	NLRX1
cluster_219	4	CXorf49	CXorf49B	ENSP00000498408	TCP11X2
