cluster_0	5	PRR20A	PRR20B	PRR20C	PRR20D	PRR20E
cluster_1	3	GATB	GATC	QRSL1
cluster_2	3	NFYA	NFYB	NFYC
cluster_3	3	USP17L24	USP17L25	USP17L26
cluster_4	4	TSEN15	TSEN2	TSEN34	TSEN54
cluster_5	3	BABAM2	BRCC3	SHMT2
cluster_6	8	BLOC1S1	BLOC1S2	BORCS5	BORCS6	BORCS7	BORCS8	KXD1	SNAPIN
cluster_7	5	CBFB	CUL5	ELOB	ELOC	RNF7
cluster_8	3	ABRAXAS2	BABAM1	SHMT2
cluster_9	9	CCT2	CCT3	CCT4	CCT5	CCT6A	CCT7	CCT8	CDC20	TCP1
cluster_10	3	CALR	HSP90B1	LRP1
cluster_11	3	CTBP1	CTBP2	RBBP8
cluster_12	4	EZR	MSN	RDX	SLC9A1
cluster_13	3	CAV1	CAV2	CAV3
cluster_14	3	LAMP1	MTOR	RPTOR
cluster_15	3	PPP1CA	PPP1CB	PPP1CC
cluster_16	5	ANAPC4	BUB1B	CDC20	CDC27	MXI1
cluster_17	3	SHLD1	SHLD2	SHLD3
cluster_18	10	EMC1	EMC10	EMC2	EMC3	EMC4	EMC6	EMC7	EMC8	EMC9	MMGT1
cluster_19	4	BTBD9	FAF1	UBXN1	UBXN7
cluster_20	4	MTOR	PSMC5	PSMC6	PSMD14
cluster_21	4	SMAD2	SMAD3	SMAD4	TRIM33
cluster_22	3	ABCC8	KCNJ11	KCNJ8
cluster_23	3	FTH1	FTL	NCOA4
cluster_24	4	NANOG	POU5F1	SALL4	SOX2
cluster_25	3	ANXA2	PLG	S100A10
cluster_26	3	CDK5RAP1	EXOSC3	EXOSC5
cluster_27	3	FIS1	TBC1D15	TBC1D17
cluster_28	3	FAF2	MAGED1	UBXN1
cluster_29	3	INTS1	INTS6	PPP1CB
cluster_30	3	LACTB	NSFL1C	UBXN2A
cluster_31	3	NDUFA13	TIMMDC1	YME1L1
cluster_32	5	CYFIP1	CYFIP2	FMR1	FXR1	FXR2
cluster_33	6	AGK	TIMM10	TIMM10B	TIMM22	TIMM29	TIMM9
cluster_34	3	ADIPOR1	ADIPOR2	APPL1
cluster_35	5	RPS27A	UBA52	UBB	UBC	USP7
cluster_36	4	HSP90AA1	HSP90AB1	HSPA4	LRP1
cluster_37	3	APOE	APP	MAPT
cluster_38	3	ADRB2	ARRB1	ARRB2
cluster_39	3	CAPZA1	CAPZA2	S100B
cluster_40	5	LMNA	SUN1	SUN2	SYNE1	SYNE2
cluster_41	4	CD151	COL17A1	DST	PLEC
cluster_42	3	ANXA1	FPR1	FPR2
cluster_43	3	HSP90AA1	HSP90AB1	TERT
cluster_44	4	GNAT3	TAS1R1	TAS1R2	TAS1R3
cluster_45	3	FUS	SOD1	TARDBP
cluster_46	5	ATG12	ATG5	DDX58	IFIH1	MAVS
cluster_47	3	CBFB	RUNX1	RUNX3
cluster_48	3	CUL1	HEY1	SKP1
cluster_49	3	PRKN	SNCA	TARDBP
cluster_50	86	CDH1	ETF1	FAU	H3BNC9_HUMAN	RACK1	RPL10	RPL10A	RPL10L	RPL11	RPL12	RPL13	RPL13A	RPL14	RPL15	RPL17	RPL17-C18orf32	RPL18	RPL18A	RPL19	RPL21	RPL22	RPL23	RPL23A	RPL24	RPL26	RPL26L1	RPL27	RPL27A	RPL28	RPL29	RPL3	RPL30	RPL31	RPL32	RPL34	RPL35	RPL35A	RPL36	RPL36A	RPL36AL	RPL37	RPL37A	RPL38	RPL39	RPL4	RPL5	RPL6	RPL7	RPL7A	RPL8	RPL9	RPLP0	RPS10	RPS10-NUDT3	RPS11	RPS12	RPS13	RPS14	RPS15	RPS15A	RPS16	RPS17	RPS18	RPS19	RPS2	RPS20	RPS21	RPS23	RPS24	RPS25	RPS26	RPS27	RPS27A	RPS28	RPS29	RPS3	RPS3A	RPS4X	RPS4Y1	RPS5	RPS6	RPS7	RPS8	RPS9	RPSA	UBA52
cluster_51	3	ERLIN1	ERLIN2	PHB
cluster_52	3	FGFR1OP	PPP2CA	PPP2CB
cluster_53	3	DGCR8	METTL14	METTL3
cluster_54	4	GPS2	TBL1X	TBL1XR1	TBL1Y
cluster_55	3	KAT2A	SOD2	WDR5
cluster_56	4	HSPB3	IGF1	IGF2	INS
cluster_57	4	ARRB1	ARRB2	MAPK1	MAPK3
cluster_58	3	AXIN1	CHKA	GSK3B
cluster_59	4	CYLD	THOC1	THOC2	THOC3
cluster_60	3	CASP3	DFFA	DFFB
cluster_61	3	PPIA	PPP3CA	PPP3R1
cluster_62	3	CDK5	CDK5R1	MAPT
cluster_63	3	APIP	ENOPH1	MRI1
cluster_64	3	CD209	ERVW-1	ITIH4
cluster_65	4	AMT	GCSH	GLDC	MYBPH
cluster_66	6	ASH2L	RBBP5	SDC1	SETD1A	WDR5	WDR82
cluster_67	3	DCAF15	DDA1	RBM39
cluster_68	4	C9orf72	RAB39B	SMCR8	WDR41
cluster_69	4	GGA1	GGA2	GGA3	IGF2R
cluster_70	3	ARNTL	CLOCK	KDM5A
cluster_71	4	DISC1	NDE1	NDEL1	PAFAH1B1
cluster_72	3	CD209	ICAM2	ICAM3
cluster_73	8	PRKAA1	PRKAA2	PRKAB1	PRKAB2	PRKAG1	PRKAG2	PRKAG3	STK11
cluster_74	3	CDC37	CDK4	CDK6
cluster_75	3	FKBP4	FKBP5	PHLPP1
cluster_76	3	MCM3AP	PCID2	SEM1
cluster_77	3	CD151	MEI4	REC114
cluster_78	3	DDX17	DDX5	ESR1
