cluster_0	6	EXOC1	EXOC3	EXOC4	EXOC5	EXOC6	EXOC7
cluster_1	5	COPS2	COPS3	COPS5	COPS6	COPS8
cluster_2	5	CYBA	CYBB	NCF1	NCF2	NCF4
cluster_3	5	LAMTOR1	LAMTOR2	LAMTOR3	LAMTOR4	LAMTOR5
cluster_4	5	PRR20A	PRR20B	PRR20C	PRR20D	PRR20E
cluster_5	8	RPS13	RPS23	RPS24	RPS27	RPS28	RPS4X	RPS7	RPS8
cluster_6	3	ABI2	NCKAP1	WASF1
cluster_7	3	ABRAXAS1	BABAM1	UIMC1
cluster_8	3	ASCC1	ASCC2	ASCC3
cluster_9	3	C1QA	C1QB	C1QC
cluster_10	3	C9orf72	SMCR8	WDR41
cluster_11	3	CCT3	CCT6A	TCP1
cluster_12	3	CD3EAP	POLR1A	POLR1E
cluster_13	3	CDC73	CTR9	PAF1
cluster_14	3	CFLAR	RIPK1	TRADD
cluster_15	3	CTC1	STN1	TEN1
cluster_16	3	DDX3Y	KDM5D	UTY
cluster_17	3	DSC2	DSG2	PKP2
cluster_18	3	EMC1	EMC2	EMC3
cluster_19	3	EMC3	EMC4	MMGT1
cluster_20	3	ERCC1	ERCC4	XPA
cluster_21	3	GATB	GATC	QRSL1
cluster_22	3	GPS2	NCOR1	TBL1XR1
cluster_23	3	HAUS1	HAUS6	HAUS7
cluster_24	3	HAUS3	HAUS6	HAUS8
cluster_25	3	IFT140	WDR19	WDR35
cluster_26	3	INTS3	INTS5	INTS6
cluster_27	3	LEO1	PAF1	RTF1
cluster_28	3	LIG3	POLB	XRCC1
cluster_29	3	MED14	MED31	MED6
cluster_30	3	METTL14	METTL3	WTAP
cluster_31	3	MIS18A	MIS18BP1	OIP5
cluster_32	3	MT-CO1	MT-CO2	MT-CO3
cluster_33	3	NCAPD2	SMC2	SMC4
cluster_34	3	NFYA	NFYB	NFYC
cluster_35	3	NHP2	NOP10	WRAP53
cluster_36	3	NOP56	NOP58	RRP9
cluster_37	3	NPB	NPBWR2	NPW
cluster_38	3	POLR1B	POLR1E	TWISTNB
cluster_39	3	POLR2E	POLR2H	POLR3K
cluster_40	3	POLR3A	POLR3C	POLR3F
cluster_41	3	PRKAA1	PRKAB1	PRKAG1
cluster_42	3	RAD21	SMC3	STAG2
cluster_43	3	RBCK1	RNF31	SHARPIN
cluster_44	3	RFX5	RFXANK	RFXAP
cluster_45	3	RNASEH2A	RNASEH2B	RNASEH2C
cluster_46	3	SCNN1A	SCNN1B	SCNN1G
cluster_47	3	SDHB	SDHC	SDHD
cluster_48	3	SNX1	SNX2	SNX5
cluster_49	3	TSEN15	TSEN2	TSEN34
cluster_50	3	USP17L24	USP17L25	USP17L26
cluster_51	3	WASHC1	WASHC4	WASHC5
cluster_52	4	ABRAXAS1	BABAM2	BARD1	BRCC3
cluster_53	4	CHTF18	DSCC1	RFC3	RFC5
cluster_54	4	CHTF8	DSCC1	RFC2	RFC5
cluster_55	4	EIF2B1	EIF2B2	EIF2B3	EIF2B4
cluster_56	4	GON7	LAGE3	OSGEP	TPRKB
cluster_57	4	POLA1	POLA2	PRIM1	PRIM2
cluster_58	4	POLR2D	POLR2G	POLR2I	POLR2J
cluster_59	11	C1D	EXOSC1	EXOSC10	EXOSC2	EXOSC3	EXOSC4	EXOSC5	EXOSC6	EXOSC7	EXOSC8	EXOSC9
cluster_60	8	EMC1	EMC10	EMC2	EMC3	EMC4	EMC6	EMC9	MMGT1
cluster_61	4	ACTR1A	DCTN1	DCTN2	DCTN3
cluster_62	4	CDK8	MED1	MED12	MED13
cluster_63	5	BLOC1S1	BLOC1S2	BORCS5	BORCS6	SNAPIN
cluster_64	5	SNAPC1	SNAPC2	SNAPC3	SNAPC4	SNAPC5
