cluster_0	5	COPS2	COPS3	COPS5	COPS6	COPS8
cluster_1	5	CYBA	CYBB	NCF1	NCF2	NCF4
cluster_2	5	LAMTOR1	LAMTOR2	LAMTOR3	LAMTOR4	LAMTOR5
cluster_3	5	PRR20A	PRR20B	PRR20C	PRR20D	PRR20E
cluster_4	4	CD3EAP	POLR1A	POLR1B	POLR1E
cluster_5	4	CHTF18	DSCC1	RFC3	RFC5
cluster_6	4	CHTF8	DSCC1	RFC2	RFC5
cluster_7	4	IFT140	IFT43	WDR19	WDR35
cluster_8	4	LAMTOR1	LAMTOR2	LAMTOR4	LAMTOR5
cluster_9	4	POLA1	POLA2	PRIM1	PRIM2
cluster_10	4	POLR2D	POLR2G	POLR2I	POLR2J
cluster_11	4	PRR20B	PRR20C	PRR20D	PRR20E
cluster_12	4	TSEN15	TSEN2	TSEN34	TSEN54
cluster_13	5	HAUS3	HAUS4	HAUS5	HAUS6	HAUS8
cluster_14	12	C1D	DIS3	EXOSC1	EXOSC10	EXOSC2	EXOSC3	EXOSC4	EXOSC5	EXOSC6	EXOSC7	EXOSC8	EXOSC9
cluster_15	8	EMC1	EMC10	EMC2	EMC3	EMC4	EMC6	EMC9	MMGT1
cluster_16	4	ACTR1A	DCTN1	DCTN2	DCTN3
cluster_17	4	HAUS3	HAUS4	HAUS6	HAUS8
cluster_18	5	HAUS3	HAUS4	HAUS6	HAUS7	HAUS8
cluster_19	5	BLOC1S1	BORCS5	BORCS6	BORCS7	BORCS8
cluster_20	4	ATG101	RB1CC1	ULK1	ULK2
cluster_21	4	WASHC1	WASHC2C	WASHC4	WASHC5
cluster_22	4	SNAPC1	SNAPC2	SNAPC4	SNAPC5
cluster_23	6	BLOC1S1	BORCS5	BORCS6	BORCS7	BORCS8	SNAPIN
cluster_24	4	ATG13	RB1CC1	ULK1	ULK2
cluster_25	4	GRIN1	GRIN2A	GRIN2C	GRIN2D
cluster_26	6	BLOC1S1	BLOC1S2	BORCS5	BORCS7	BORCS8	SNAPIN
cluster_27	5	CBFB	CUL5	ELOB	ELOC	RNF7
cluster_28	4	GRIA1	GRIA2	GRIA3	GRIA4
cluster_29	4	NEDD4L	SCNN1A	SCNN1B	SCNN1G
cluster_30	6	TGFBRAP1	VPS11	VPS16	VPS18	VPS33A	VPS8
cluster_31	9	CCT2	CCT3	CCT4	CCT5	CCT6A	CCT7	CCT8	CDC20	TCP1
cluster_32	4	EIF4A1	EIF4A2	EIF4B	EIF4G1
