cluster_0	6	EXOC1	EXOC3	EXOC4	EXOC5	EXOC6	EXOC7
cluster_1	5	CD3EAP	POLR1A	POLR1B	POLR1E	TWISTNB
cluster_2	5	COPS2	COPS3	COPS5	COPS6	COPS8
cluster_3	5	LAMTOR1	LAMTOR2	LAMTOR3	LAMTOR4	LAMTOR5
cluster_4	5	PRR20A	PRR20B	PRR20C	PRR20D	PRR20E
cluster_5	8	COPS2	COPS3	COPS4	COPS5	COPS6	COPS7B	COPS8	GPS1
cluster_6	7	EXOSC1	EXOSC3	EXOSC4	EXOSC5	EXOSC7	EXOSC8	EXOSC9
cluster_7	7	RACK1	RPL24	RPL27A	RPL28	RPL29	RPL37A	RPL6
cluster_8	3	ASCC1	ASCC2	ASCC3
cluster_9	3	ASCC2	ASCC3	TRIP4
cluster_10	3	C9orf72	SMCR8	WDR41
cluster_11	3	CD3EAP	POLR1A	POLR1E
cluster_12	3	CD3EAP	POLR1B	POLR1E
cluster_13	3	CDC73	CTR9	WDR61
cluster_14	3	DDX39B	THOC3	THOC6
cluster_15	3	DSC2	DSG2	PKP2
cluster_16	3	EIF4A2	EIF4B	EIF4G1
cluster_17	3	ERCC1	ERCC4	XPA
cluster_18	3	GATB	GATC	QRSL1
cluster_19	3	GINS3	GINS4	MCM2
cluster_20	3	HAUS3	HAUS6	HAUS8
cluster_21	3	MED14	MED22	MED6
cluster_22	3	MED14	MED31	MED6
cluster_23	3	NFYA	NFYB	NFYC
cluster_24	3	NHEJ1	XRCC4	XRCC6
cluster_25	3	POLR3A	POLR3C	POLR3F
cluster_26	3	RAD21	SMC1A	SMC3
cluster_27	3	RBCK1	RNF31	SHARPIN
cluster_28	3	RFX5	RFXANK	RFXAP
cluster_29	3	SCNN1A	SCNN1B	SCNN1G
cluster_30	3	SDHB	SDHC	SDHD
cluster_31	3	SNX1	SNX2	SNX5
cluster_32	3	TELO2	TTI1	TTI2
cluster_33	3	THOC3	THOC5	THOC6
cluster_34	3	TOMM22	TOMM5	TOMM6
cluster_35	3	TRAPPC1	TRAPPC2	TRAPPC4
cluster_36	3	TSEN15	TSEN34	TSEN54
cluster_37	3	USP17L24	USP17L25	USP17L26
cluster_38	3	WASHC1	WASHC4	WASHC5
cluster_39	4	ARID1A	SMARCA2	SMARCA4	SMARCC1
cluster_40	4	ATP6V0B	ATP6V0C	ATP6V1A	ATP6V1H
cluster_41	4	CD3EAP	POLR1A	POLR1B	POLR1E
cluster_42	4	CHTF18	DSCC1	RFC3	RFC5
cluster_43	4	EMC2	EMC4	EMC6	EMC8
cluster_44	4	FAAP20	FANCB	FANCF	FANCG
cluster_45	4	GON7	LAGE3	TP53RK	TPRKB
cluster_46	4	PIGA	PIGC	PIGH	PIGP
cluster_47	4	POLA1	POLA2	PRIM1	PRIM2
cluster_48	4	PRR20B	PRR20C	PRR20D	PRR20E
cluster_49	4	TSEN15	TSEN2	TSEN34	TSEN54
cluster_50	9	EMC1	EMC10	EMC2	EMC3	EMC4	EMC6	EMC7	EMC9	MMGT1
cluster_51	6	HAUS2	HAUS3	HAUS4	HAUS5	HAUS6	HAUS8
cluster_52	4	HAUS3	HAUS4	HAUS6	HAUS8
cluster_53	6	CHTF18	CHTF8	DSCC1	RFC2	RFC4	RFC5
cluster_54	6	HAUS2	HAUS3	HAUS4	HAUS6	HAUS7	HAUS8
cluster_55	5	HAUS3	HAUS4	HAUS6	HAUS7	HAUS8
cluster_56	12	C1D	DIS3	EXOSC1	EXOSC2	EXOSC3	EXOSC4	EXOSC5	EXOSC6	EXOSC7	EXOSC8	EXOSC9	MPHOSPH6
cluster_57	3	AMN	CUBN	LRP2
cluster_58	3	BABAM2	BRCC3	SHMT2
cluster_59	3	CYFIP2	NCKAP1L	WASF1
cluster_60	3	DKC1	GAR1	WRAP53
cluster_61	3	GRIN1	GRIN2A	GRIN2C
cluster_62	3	GRIN1	GRIN2C	GRIN2D
cluster_63	3	HAUS2	HAUS4	HAUS6
cluster_64	3	SPCS1	SPCS2	SPCS3
cluster_65	4	FAAP24	FANCF	FANCL	FANCM
cluster_66	7	BLOC1S1	BLOC1S2	BORCS5	BORCS6	BORCS7	BORCS8	SNAPIN
cluster_67	5	CD3EAP	POLR1A	POLR1E	RRN3	TWISTNB
cluster_68	4	BLOC1S1	BORCS5	BORCS7	BORCS8
