cluster_0	5	COPS2	COPS3	COPS5	COPS6	COPS8
cluster_1	5	EMC1	EMC2	EMC3	EMC7	EMC8
cluster_2	5	LAMTOR1	LAMTOR2	LAMTOR3	LAMTOR4	LAMTOR5
cluster_3	5	PRR20A	PRR20B	PRR20C	PRR20D	PRR20E
cluster_4	3	ASCC1	ASCC2	ASCC3
cluster_5	3	CASP2	CRADD	PIDD1
cluster_6	3	CD3EAP	POLR1B	POLR1E
cluster_7	3	COL1A1	COL1A2	COL3A1
cluster_8	3	EXOC1	EXOC2	EXOC5
cluster_9	3	FAU	RPL19	RPS6
cluster_10	3	GATB	GATC	QRSL1
cluster_11	3	LIG3	POLB	XRCC1
cluster_12	3	LIG4	XRCC4	XRCC5
cluster_13	3	NFYA	NFYB	NFYC
cluster_14	3	POLR2D	POLR2G	POLR2J
cluster_15	3	POLR3A	POLR3C	POLR3F
cluster_16	3	RBCK1	RNF31	SHARPIN
cluster_17	3	SCNN1A	SCNN1B	SCNN1G
cluster_18	3	TELO2	TTI1	TTI2
cluster_19	3	USP17L24	USP17L25	USP17L26
cluster_20	3	VPS16	VPS18	VPS33A
cluster_21	3	WASHC1	WASHC4	WASHC5
cluster_22	4	ABRAXAS2	BABAM1	BABAM2	BRCC3
cluster_23	4	ARID1A	SMARCA2	SMARCA4	SMARCD1
cluster_24	4	C1D	EXOSC1	EXOSC10	EXOSC9
cluster_25	4	POLA1	POLA2	PRIM1	PRIM2
cluster_26	4	TSEN15	TSEN2	TSEN34	TSEN54
cluster_27	5	CHTF18	DSCC1	RFC3	RFC4	RFC5
cluster_28	5	HAUS3	HAUS4	HAUS5	HAUS6	HAUS8
cluster_29	8	EMC1	EMC10	EMC2	EMC3	EMC4	EMC6	EMC9	MMGT1
cluster_30	5	ATG101	ATG13	RB1CC1	ULK1	ULK2
cluster_31	3	AMN	CUBN	LRP2
cluster_32	3	BABAM2	BRCC3	SHMT2
cluster_33	3	DKC1	GAR1	WRAP53
cluster_34	4	SNAPC1	SNAPC2	SNAPC4	SNAPC5
cluster_35	8	BLOC1S1	BLOC1S2	BORCS5	BORCS6	BORCS7	BORCS8	KXD1	SNAPIN
cluster_36	4	GRIN1	GRIN2A	GRIN2C	GRIN2D
cluster_37	5	CBFB	CUL5	ELOB	ELOC	RNF7
cluster_38	3	BLOC1S2	BORCS8	KXD1
cluster_39	3	COL17A1	DST	PLEC
cluster_40	3	GRP	NMB	NMBR
cluster_41	3	PIK3R1	PIK3R2	PIK3R3
cluster_42	3	RRM1	RRM2	RRM2B
cluster_43	3	TIMM10	TIMM10B	TIMM9
cluster_44	3	ABRAXAS2	BABAM1	SHMT2
cluster_45	9	CCT2	CCT3	CCT4	CCT5	CCT6A	CCT7	CCT8	CDC20	TCP1
cluster_46	3	ATP5MC1	ATP5MC2	ATP5MC3
cluster_47	3	CPSF1	CPSF4	CSTF2
cluster_48	5	CTTNBP2	CTTNBP2NL	MOB4	STRIP1	STRN3
cluster_49	4	BIRC2	BIRC3	TRAF2	TRAF5
cluster_50	3	CASP10	FADD	RIPK1
cluster_51	3	CALR	HSP90B1	LRP1
cluster_52	3	RIPK1	RIPK3	ZBP1
cluster_53	3	SMAD4	SMAD5	SMAD9
cluster_54	3	CTBP1	CTBP2	RBBP8
cluster_55	4	EZR	MSN	RDX	SLC9A1
cluster_56	3	LAMP1	MTOR	RPTOR
cluster_57	3	PIK3CA	PIK3CB	PIK3CG
cluster_58	3	PPP1CA	PPP1CB	PPP1CC
cluster_59	3	CAV1	CAV2	CAV3
cluster_60	4	TIMM10B	TIMM22	TIMM29	TIMM9
cluster_61	3	SHLD1	SHLD2	SHLD3
cluster_62	5	ANAPC4	BUB1B	CDC20	CDC27	MXI1
cluster_63	5	C5	C8A	C8B	C8G	C9
cluster_64	4	HPS3	HPS4	HPS5	HPS6
cluster_65	4	MTOR	PSMC5	PSMC6	PSMD14
cluster_66	4	BTBD9	FAF1	UBXN1	UBXN7
cluster_67	4	SMAD2	SMAD3	SMAD4	TRIM33
cluster_68	3	ABCC8	KCNJ11	KCNJ8
cluster_69	3	FTH1	FTL	NCOA4
cluster_70	3	MAJIN	TERB1	TERB2
cluster_71	4	NANOG	POU5F1	SALL4	SOX2
cluster_72	4	PRKAA1	PRKAA2	PRKAB1	PRKAB2
cluster_73	3	ANXA2	PLG	S100A10
cluster_74	3	CDK5RAP1	EXOSC3	EXOSC5
cluster_75	3	FIS1	TBC1D15	TBC1D17
cluster_76	3	LACTB	NSFL1C	UBXN2A
cluster_77	3	NDUFA13	TIMMDC1	YME1L1
cluster_78	3	CD209	CLEC4M	ICAM3
cluster_79	3	ETF1	GSPT1	GSPT2
cluster_80	3	FAF2	MAGED1	UBXN1
cluster_81	3	INTS1	INTS6	PPP1CB
cluster_82	4	DYNC1H1	DYNC1I1	DYNC1I2	DYNC1LI2
cluster_83	4	NONO	PSPC1	RBM14-RBM4	SFPQ
cluster_84	5	CYFIP1	CYFIP2	FMR1	FXR1	FXR2
cluster_85	3	ADIPOQ	ADIPOR1	ADIPOR2
cluster_86	3	CAB39L	STK11	STRADB
cluster_87	3	ICMT	RCE1	ZMPSTE24
cluster_88	5	RPS27A	UBA52	UBB	UBC	USP7
cluster_89	9	CYBA	CYBB	NCF1	NCF2	NCF4	NOX1	NOX3	NOXA1	NOXO1
cluster_90	4	HSP90AA1	HSP90AB1	HSPA4	LRP1
cluster_91	3	APOE	APP	MAPT
cluster_92	4	MLH1	MLH3	PMS1	PMS2
cluster_93	3	CAPZA1	CAPZA2	S100B
cluster_94	4	AGL	GBE1	PYGB	PYGL
cluster_95	3	ADRB2	ARRB1	ARRB2
cluster_96	4	CAB39	CAB39L	STK11	STRADA
cluster_97	6	NCAPD2	NCAPD3	NCAPG2	NCAPH2	SMC2	SMC4
cluster_98	6	B9D2	CC2D2A	MKS1	TCTN1	TCTN2	TMEM67
cluster_99	3	ANXA1	FPR1	FPR2
cluster_100	3	HSP90AA1	HSP90AB1	TERT
cluster_101	3	GID4	GID8	RANBP9
cluster_102	3	MLLT1	MLLT10	MLLT3
cluster_103	4	GNAT3	TAS1R1	TAS1R2	TAS1R3
cluster_104	3	FUS	SOD1	TARDBP
cluster_105	3	NCLN	NOMO2	TMEM147
cluster_106	3	CAPRIN1	G3BP1	G3BP2
cluster_107	5	ATG12	ATG5	DDX58	IFIH1	MAVS
cluster_108	3	CBFB	RUNX1	RUNX3
cluster_109	3	CUL1	HEY1	SKP1
cluster_110	4	EIF4A2	EIF4B	EIF4G1	EIF4G2
cluster_111	3	PFDN2	PFDN6	URI1
