BioGRID_corum,BioGRID_diff,BioPlex_corum,BioPlex_diff,ComPPI_corum,ComPPI_diff,HuRI_corum,HuRI_diff,IntAct_corum,IntAct_diff,STRING_corum,STRING_diff,absdiff_sum,corum_gmt_sha256,corum_kind,corum_version,corum_zip_sha256,goa_id,hu.MAP2_corum,hu.MAP2_diff,n_complexes_total
1420,65,1235,71,1359,49,594,57,1379,64,1381,64,441,5cca83a69278151f219041b299cc7c994b8222cfdfda2de18b64a14ddf625798,all,2.2,656360730a0f604a83ccc7b02d819adbc6be9e2e7d03110aa99faa089f827e64,220,919,71,1972
1220,-135,1067,-97,1233,-77,557,20,1252,-63,1237,-80,504,6848bfc416eb71cfc2e9530dc2e4fd21ba9bf37129db52ea4377543dac583c0f,all,2.1,5ff01ddda7cbe2dc9dbc78209dd77189aee09f387568bb6b64e894ee2a679c07,220,816,-32,1755
1171,-184,1007,-157,1120,-190,461,-76,1137,-178,1145,-172,1062,7e2c0e58e743886a364ba871b57839ef7d7a2a63ea481ee0645f6f883941919f,core,2.4,d62a40e94cbe62ef3a260e949b304ac6ce8c7e547415bfb991ebd0933cd986e7,220,743,-105,1736
1557,202,1344,180,1482,172,629,92,1506,191,1514,197,1174,5cbbcab76fe42a123dfb19b590625b8454a32707d778e1a0aeff82428502649f,all,2.3,af53bc4dc399261f64ab93d210041ae09049d16ba6497dad04af8df6c9c5f0fd,220,988,140,2266
1149,-206,989,-175,1099,-211,453,-84,1113,-202,1122,-195,1191,1c315de094746615a6ad7a66184c3bd7ece79d4e123d63c6671d1a72bb11e7b2,core,2.3,af53bc4dc399261f64ab93d210041ae09049d16ba6497dad04af8df6c9c5f0fd,220,730,-118,1702
1579,224,1363,199,1503,193,637,100,1531,216,1538,221,1307,5b02a79cd97a7ac2b4f99e4d11fa809e0d0ca1f71c0d98189bc52771ab37e2cb,all,2.4,d62a40e94cbe62ef3a260e949b304ac6ce8c7e547415bfb991ebd0933cd986e7,220,1002,154,2300
1603,248,1366,202,1530,220,600,63,1559,244,1567,250,1349,84840ab751804bbfc5ec043ec01ca9425606eefb0c4a1e5258cd14d87d080088,core,2.5,4b3c3252ef9e678c7ff0918e0df5e183b70e1269c29bb16b4faaf33051e2899a,220,970,122,2320
1615,260,1378,214,1541,231,596,59,1570,255,1579,262,1401,a162834c9ba61d0017a55f90cfbfdbd0a970f38604b0ec3361a40ed5193d2767,core,3.0,fd89d67a49b66b0ec12ad91e37003a18d87edb1ece0f65cdeb51371fde57476a,220,968,120,2355
976,-379,852,-312,943,-367,401,-136,952,-363,955,-362,2125,aad86d77d3325f9746a1092668665e4606bf7e6fc8ff1c632ba4ba96135130e1,core,2.2,656360730a0f604a83ccc7b02d819adbc6be9e2e7d03110aa99faa089f827e64,220,642,-206,1350
888,-467,777,-387,903,-407,392,-145,913,-402,903,-414,2479,f163dd19310fc8940276a8359fe6a6249cfe57ca214c5c84a6479946e6a90f3c,core,2.1,5ff01ddda7cbe2dc9dbc78209dd77189aee09f387568bb6b64e894ee2a679c07,220,591,-257,1293
1898,543,1613,449,1803,493,709,172,1841,526,1848,531,3002,171def21fa8daa8e2063aa199fb408a49bf45010e2d47278e61078df71be5616,all,2.5,4b3c3252ef9e678c7ff0918e0df5e183b70e1269c29bb16b4faaf33051e2899a,220,1136,288,2758
1928,573,1642,478,1830,520,714,177,1868,553,1876,559,3160,a712aeadda25de9415a469118bbbda2c32c1a784d60ed5ab701b4eb2eae07185,all,3.0,fd89d67a49b66b0ec12ad91e37003a18d87edb1ece0f65cdeb51371fde57476a,220,1148,300,2822
